date,symbol,sector,price,action,signal,smart_rank,confidence,zone,rsi,adx,entry,stop,target,rr,atr,vol_ratio,pct_ema200,adapt_mom,dg_tier,signal_reason,price_1w,price_2w,result,notes
2026-03-14,CIEB,BANKS,23.200000762939453,PROBE,👁️ WATCH (data quality),34.25,99.2,🟢 EARLY,52.5,34.3,23.08,22.16,25.29,2.4,0.972,1.1,7.5,7.57,DEGRADED,Accum phase | ADX strong (34) | 🛡️ DataGuard DEGRADED (63),,,,
2026-03-14,ADIB,BANKS,39.04999923706055,PROBE,👁️ WATCH (data quality),19.52,75.6,🟢 EARLY,50.9,26.0,38.85,37.29,42.56,2.4,2.101,0.75,22.8,3.71,DEGRADED,"Expansion phase | RSI healthy | ✗Bear vol div | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=39.05)",,,,
2026-03-14,KZPC,INDUSTRIAL,10.079999923706055,PROBE,👀 WATCH,18.27,69.4,🟢 EARLY,50.6,19.0,10.03,9.73,10.99,3.2,0.426,1.11,-3.7,0.74,DEGRADED,"RSI healthy | ✗No clear phase | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=10.08)",,,,
2026-03-14,SKPC,INDUSTRIAL,18.149999618530273,PROBE,👁️ WATCH (data quality),18.09,68.4,🟢 EARLY,60.1,24.8,18.06,17.33,19.78,2.4,0.887,0.58,-2.5,4.92,DEGRADED,Expansion phase | RSI healthy | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-14,ORWE,SERVICES,22.8799991607666,PROBE,👁️ WATCH (data quality),17.36,64.4,🟢 EARLY,52.0,22.3,22.77,21.85,24.94,2.4,0.635,0.38,-0.3,3.47,DEGRADED,Accum phase | RSI healthy | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-14,SAUD,BANKS,18.31999969482422,WAIT,📊 WAIT (Rank),16.17,0.0,🟢 EARLY,54.8,28.1,18.23,17.34,20.28,2.3,0.654,0.57,22.2,-0.45,DEGRADED, | 📊 Rank too low: 16.2 < 16.8,,,,
2026-03-14,AMOC,INDUSTRIAL,9.119999885559082,WAIT,📊 WAIT (Rank),15.9,0.0,🔴 LATE,71.8,31.7,9.07,8.4,10.57,2.2,0.482,1.65,24.3,22.72,DEGRADED, | 📊 Rank too low: 15.9 < 16.8,,,,
2026-03-14,ABUK,ENERGY,88.05999755859375,WAIT,📊 WAIT (Rank),14.91,0.0,🟡 MID,71.7,33.4,87.62,79.23,105.71,2.2,5.885,1.53,50.0,10.55,DEGRADED, | 📊 Rank too low: 14.9 < 16.8,,,,
2026-03-14,MFPC,ENERGY,44.5,WAIT,📊 WAIT (Rank),14.09,0.0,🟡 MID,72.6,50.7,44.28,41.04,51.42,2.2,2.307,1.38,33.3,13.26,DEGRADED, | 📊 Rank too low: 14.1 < 16.8,,,,
2026-03-14,FAIT,BANKS,33.84000015258789,WAIT,📊 WAIT (Rank),13.73,0.0,🟡 MID,51.3,11.8,33.67,32.22,37.08,2.4,1.081,0.22,5.0,-1.02,DEGRADED, | 📊 Rank too low: 13.7 < 16.8,,,,
