date,symbol,sector,price,action,signal,smart_rank,confidence,zone,rsi,adx,entry,stop,target,rr,atr,vol_ratio,pct_ema200,adapt_mom,dg_tier,signal_reason,price_1w,price_2w,result,notes
2026-03-13,CIEB,BANKS,23.200000762939453,PROBE,👁️ WATCH (data quality),27.71,96.0,🟢 EARLY,52.5,34.3,23.08,22.16,25.29,2.4,0.972,1.1,7.5,7.57,DEGRADED,Accum phase | ADX strong (34) | 🛡️ DataGuard DEGRADED (63),,,,
2026-03-13,ABUK,ENERGY,88.05999755859375,PROBE,👁️ WATCH (data quality),19.53,75.6,🟡 MID,71.7,33.4,87.62,84.1,95.99,2.4,5.885,1.53,50.0,10.55,DEGRADED,Expansion phase | ADX strong (33) | ✗RSI neutral (72) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-13,SKPC,INDUSTRIAL,18.149999618530273,PROBE,👁️ WATCH (data quality),19.31,74.6,🟢 EARLY,60.1,24.8,18.06,17.33,19.78,2.4,0.887,0.58,-2.5,4.92,DEGRADED,Expansion phase | RSI healthy | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-13,KZPC,INDUSTRIAL,10.079999923706055,PROBE,👀 WATCH,17.76,66.6,🟢 EARLY,50.6,19.0,10.03,9.73,10.99,3.2,0.426,1.11,-3.7,0.74,DEGRADED,"RSI healthy | ✗No clear phase | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=10.08)",,,,
2026-03-13,MFPC,ENERGY,44.5,PROBE,👀 WATCH ⚠️OB,17.43,64.7,🟡 MID,72.6,50.7,44.28,42.5,48.51,2.4,2.307,1.38,33.3,13.26,DEGRADED,Expansion phase | ADX strong (51) | ✗RSI overbought (73) | ✗Bear vol div | 💧 CMF Boost: 0.20 → ×1.1 | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-13,ADIB,BANKS,39.04999923706055,WAIT,📊 WAIT (Rank),16.71,0.0,🟢 EARLY,50.9,26.0,38.85,35.9,45.35,2.2,2.101,0.75,22.8,3.71,DEGRADED, | 📊 Rank too low: 16.7 < 16.8,,,,
2026-03-13,AMOC,INDUSTRIAL,9.119999885559082,WAIT,📊 WAIT (Rank),16.53,0.0,🔴 LATE,71.8,31.7,9.07,8.4,10.57,2.2,0.482,1.65,24.3,22.72,DEGRADED, | 📊 Rank too low: 16.5 < 16.8,,,,
2026-03-13,SAUD,BANKS,18.31999969482422,WAIT,📊 WAIT (Rank),16.01,0.0,🟢 EARLY,54.8,28.1,18.23,17.34,20.28,2.3,0.654,0.57,22.2,-0.45,DEGRADED, | 📊 Rank too low: 16.0 < 16.8,,,,
2026-03-13,HELI,REAL_ESTATE,5.550000190734863,WAIT,📊 WAIT (Rank),15.31,0.0,🟡 MID,78.4,47.3,5.52,5.12,6.41,2.2,0.286,0.27,-2.5,13.13,DEGRADED, | 📊 Rank too low: 15.3 < 16.8,,,,
2026-03-13,ORWE,SERVICES,22.8799991607666,WAIT,📊 WAIT (Rank),14.7,0.0,🟢 EARLY,52.0,22.3,22.77,21.93,24.78,2.4,0.635,0.38,-0.3,3.47,DEGRADED, | 📊 Rank too low: 14.7 < 16.8,,,,
