date,symbol,sector,price,action,signal,smart_rank,confidence,zone,rsi,adx,entry,stop,target,rr,atr,vol_ratio,pct_ema200,adapt_mom,dg_tier,signal_reason,price_1w,price_2w,result,notes
2026-03-17,SAUD,BANKS,18.0,PROBE,👁️ WATCH (data quality),24.21,13.1,🟢 EARLY,49.6,26.9,17.91,17.19,19.62,2.4,0.576,0.64,19.7,1.2,DEGRADED,"RSI healthy | ✗No clear phase | 💧 CMF Boost: 0.16 → ×1.1 | 🛡️ DataGuard DEGRADED (59) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=18.00)",,,,
2026-03-17,ADIB,BANKS,37.5,PROBE,👁️ WATCH (data quality),18.16,9.9,🟢 EARLY,46.0,22.8,37.31,35.81,40.88,2.4,1.922,0.45,17.6,1.36,DEGRADED,"✗No clear phase | ✗RSI neutral (46) | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=37.50)",,,,
2026-03-17,SWDY,ENERGY,78.0,WAIT,📊 WAIT (Rank),16.57,0.0,🟢 EARLY,46.9,23.0,77.61,73.65,86.69,2.3,2.897,0.22,1.0,-0.39,DEGRADED, | 📊 Rank too low: 16.6 < 16.8,,,,
2026-03-17,CIEB,BANKS,22.3799991607666,WAIT,📊 WAIT (Rank),14.85,0.0,🟢 EARLY,45.3,31.9,22.27,20.91,25.32,2.2,0.981,0.41,3.7,7.49,DEGRADED, | 📊 Rank too low: 14.9 < 16.8,,,,
2026-03-17,MFPC,ENERGY,43.20000076293945,WAIT,📊 WAIT (Rank),14.8,0.0,🟡 MID,66.0,52.0,42.98,39.69,50.22,2.2,2.341,0.64,28.8,6.75,DEGRADED, | 📊 Rank too low: 14.8 < 16.8,,,,
2026-03-17,PHDC,REAL_ESTATE,8.199999809265137,WAIT,📊 WAIT (Rank),14.61,0.0,🔴 LATE,36.6,19.7,8.16,7.64,9.31,2.2,0.371,1.44,1.0,-3.47,DEGRADED, | 📊 Rank too low: 14.6 < 16.8,,,,
2026-03-17,ORWE,SERVICES,22.100000381469727,WAIT,📊 WAIT (Rank),14.36,0.0,🔴 LATE,41.4,22.5,21.99,21.15,24.01,2.4,0.636,0.58,-3.7,-1.08,DEGRADED, | 📊 Rank too low: 14.4 < 16.8,,,,
2026-03-17,AMOC,INDUSTRIAL,9.199999809265137,WAIT,📊 WAIT (Rank),14.36,0.0,🟡 MID,70.0,34.2,9.15,8.42,10.77,2.2,0.522,1.24,24.8,11.47,DEGRADED, | 📊 Rank too low: 14.4 < 16.8,,,,
2026-03-17,ABUK,ENERGY,86.66999816894531,WAIT,📊 WAIT (Rank),14.28,0.0,🟡 MID,68.2,34.7,86.24,77.4,105.21,2.1,6.18,0.75,50.0,6.89,DEGRADED, | 📊 Rank too low: 14.3 < 16.8,,,,
2026-03-17,JUFO,SERVICES,26.0,WAIT,📊 WAIT (Rank),13.79,0.0,🟡 MID,38.1,30.3,25.87,24.58,28.83,2.3,0.944,0.94,-4.9,-0.04,DEGRADED, | 📊 Rank too low: 13.8 < 16.8,,,,
2026-03-17,TMGH,REAL_ESTATE,73.80999755859375,WAIT,📊 WAIT (Rank),13.48,0.0,🔴 LATE,32.8,36.8,73.44,68.58,84.26,2.2,3.484,0.74,4.4,-3.85,DEGRADED, | 📊 Rank too low: 13.5 < 16.8,,,,
2026-03-17,OCDI,REAL_ESTATE,17.540000915527344,WAIT,📊 WAIT (Rank),13.33,0.0,🔴 LATE,41.6,15.1,17.45,16.48,19.66,2.3,0.707,0.31,-36.0,-1.46,DEGRADED, | 📊 Rank too low: 13.3 < 16.8,,,,
2026-03-17,SKPC,INDUSTRIAL,17.510000228881836,WAIT,📊 WAIT (Rank),13.03,0.0,🟡 MID,53.1,23.9,17.42,16.1,20.33,2.2,0.941,0.46,-5.7,-2.51,DEGRADED, | 📊 Rank too low: 13.0 < 16.8,,,,
2026-03-17,ISPH,ENERGY,10.229999542236328,WAIT,📊 WAIT (Rank),12.53,0.0,🔴 LATE,34.3,29.1,10.18,9.58,11.54,2.3,0.436,0.62,-2.1,-4.01,DEGRADED, | 📊 Rank too low: 12.5 < 16.8,,,,
2026-03-17,KZPC,INDUSTRIAL,9.84000015258789,WAIT,📊 WAIT (Rank),11.77,0.0,🟡 MID,45.5,17.4,9.79,9.19,11.14,2.3,0.433,0.43,-5.9,-2.3,DEGRADED, | 📊 Rank too low: 11.8 < 16.8,,,,
2026-03-17,COMI,BANKS,117.19999694824219,WAIT,📊 WAIT (Rank),11.46,0.0,🔴 LATE,37.2,32.6,116.61,108.68,134.24,2.2,5.681,1.21,7.8,-4.53,DEGRADED, | 📊 Rank too low: 11.5 < 16.8,,,,
2026-03-17,FWRY,SERVICES,16.700000762939453,WAIT,📊 WAIT (Rank),10.64,0.0,🔴 LATE,37.4,25.3,16.62,15.62,18.85,2.2,0.718,1.23,11.6,-4.14,DEGRADED, | 📊 Rank too low: 10.6 < 16.8,,,,
2026-03-17,EAST,ENERGY,37.099998474121094,WAIT,📊 WAIT (Rank),10.39,0.0,🔴 LATE,42.6,25.9,36.91,34.42,42.47,2.2,1.789,0.43,-3.2,-2.38,DEGRADED, | 📊 Rank too low: 10.4 < 16.8,,,,
2026-03-17,ETEL,SERVICES,81.0,WAIT,📊 WAIT (Rank),10.16,0.0,🔴 LATE,40.8,27.6,80.59,75.84,91.33,2.3,3.442,0.39,29.4,-3.38,DEGRADED, | 📊 Rank too low: 10.2 < 16.8,,,,
2026-03-17,HELI,REAL_ESTATE,5.289999961853027,WAIT,📊 WAIT (Rank),9.92,0.0,🟡 MID,65.7,45.2,5.26,4.9,6.06,2.2,0.257,0.37,-6.8,5.4,DEGRADED, | 📊 Rank too low: 9.9 < 16.8,,,,
2026-03-17,EGTS,SERVICES,7.150000095367432,WAIT,📊 WAIT (Rank),8.71,0.0,🟡 MID,39.4,43.2,7.11,6.82,7.82,2.4,0.223,0.36,-7.9,1.59,DEGRADED, | 📊 Rank too low: 8.7 < 16.8,,,,
2026-03-17,HRHO,SERVICES,25.020000457763672,WAIT,📊 WAIT (Rank),8.23,0.0,🔴 LATE,33.3,30.1,24.89,23.6,27.85,2.3,0.945,0.92,-5.8,-2.39,DEGRADED, | 📊 Rank too low: 8.2 < 16.8,,,,
2026-03-17,CNFN,BANKS,4.0,WAIT,❌ SELL,19.1,10.6,🟡 MID,36.9,38.3,3.98,3.82,4.36,2.4,0.152,0.54,-14.2,-0.23,DEGRADED,"ADX strong (38) | ✗No clear phase | ✗RSI neutral (37) | ⚡ Flow>Tech divergence | 🛡️ DataGuard DEGRADED (61) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=4.00)",,,,
