date,symbol,sector,price,action,signal,smart_rank,confidence,zone,rsi,adx,entry,stop,target,rr,atr,vol_ratio,pct_ema200,adapt_mom,dg_tier,signal_reason,price_1w,price_2w,result,notes
2026-03-17,CIEB,BANKS,23.020000457763672,PROBE,👁️ WATCH (data quality),32.24,14.2,🟢 EARLY,50.8,32.7,22.9,21.98,25.09,2.4,0.951,0.43,6.7,9.27,DEGRADED,ADX strong (33) | RSI healthy | ✗No clear phase | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: TREND_NOT_CONFIRMED(price=23.02),,,,
2026-03-17,SAUD,BANKS,18.3799991607666,PROBE,👁️ WATCH (data quality),20.83,11.7,🟢 EARLY,55.6,27.4,18.29,17.83,20.03,3.8,0.601,0.27,22.5,0.74,DEGRADED,Accum phase | RSI healthy | ✗Bear vol div | 💧 CMF Boost: 0.20 → ×1.1 | 🛡️ DataGuard DEGRADED (59) | 🔄 MomGuard: MOM_NOT_PERSISTENT,,,,
2026-03-17,ADIB,BANKS,38.0,PROBE,👁️ WATCH (data quality),20.65,11.6,🟢 EARLY,47.6,24.2,37.81,36.29,41.42,2.4,1.961,0.8,19.4,3.32,DEGRADED,Expansion phase | Strong mom | ✗RSI neutral (48) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: TREND_NOT_CONFIRMED(price=38.00),,,,
2026-03-17,ORWE,SERVICES,22.5,PROBE,👀 WATCH,16.85,8.8,🟢 EARLY,46.4,22.0,22.39,21.49,24.53,2.4,0.625,1.13,-1.9,1.23,DEGRADED,"✗No clear phase | ✗RSI neutral (46) | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=22.50)",,,,
2026-03-17,SKPC,INDUSTRIAL,18.010000228881836,WAIT,📊 WAIT (Rank),14.72,0.0,🟢 EARLY,58.5,24.8,17.92,16.65,20.72,2.2,0.904,0.56,-3.1,1.04,DEGRADED, | 📊 Rank too low: 14.7 < 16.8,,,,
2026-03-17,JUFO,SERVICES,26.68000030517578,WAIT,📊 WAIT (Rank),13.77,0.0,🟡 MID,43.6,29.9,26.55,25.29,29.46,2.3,0.927,1.07,-2.4,0.48,DEGRADED, | 📊 Rank too low: 13.8 < 16.8,,,,
2026-03-17,AMOC,INDUSTRIAL,9.380000114440918,WAIT,📊 WAIT (Rank),13.54,0.0,🟡 MID,73.9,32.9,9.33,8.63,10.89,2.2,0.503,1.28,27.6,19.43,DEGRADED, | 📊 Rank too low: 13.5 < 16.8,,,,
2026-03-17,KZPC,INDUSTRIAL,9.90999984741211,WAIT,📊 WAIT (Rank),13.02,0.0,🟢 EARLY,46.9,18.3,9.86,9.26,11.21,2.3,0.434,0.75,-5.2,-0.73,DEGRADED, | 📊 Rank too low: 13.0 < 16.8,,,,
2026-03-17,EGTS,SERVICES,7.119999885559082,WAIT,📊 WAIT (Rank),12.21,0.0,🟡 MID,37.9,42.8,7.08,6.78,7.8,2.4,0.226,0.12,-8.3,1.3,DEGRADED, | 📊 Rank too low: 12.2 < 16.8,,,,
2026-03-17,SWDY,ENERGY,78.30000305175781,WAIT,📊 WAIT (Rank),12.2,0.0,🟢 EARLY,48.2,23.0,77.91,73.85,87.2,2.3,2.968,0.26,1.4,0.67,DEGRADED, | 📊 Rank too low: 12.2 < 16.8,,,,
2026-03-17,ABUK,ENERGY,86.0,WAIT,📊 WAIT (Rank),11.57,0.0,🟡 MID,67.6,34.5,85.57,77.19,103.63,2.2,5.876,1.22,49.8,9.17,DEGRADED, | 📊 Rank too low: 11.6 < 16.8,,,,
2026-03-17,CNFN,BANKS,4.050000190734863,WAIT,📊 WAIT (Rank),10.63,0.0,🟡 MID,39.0,38.5,4.03,3.82,4.52,2.3,0.156,0.54,-13.2,2.48,DEGRADED, | 📊 Rank too low: 10.6 < 16.8,,,,
2026-03-17,MFPC,ENERGY,44.630001068115234,WAIT,📊 WAIT (Rank),10.61,0.0,🟡 MID,72.8,51.8,44.41,41.17,51.56,2.2,2.309,1.17,33.4,10.29,DEGRADED, | 📊 Rank too low: 10.6 < 16.8,,,,
2026-03-17,PHDC,REAL_ESTATE,8.600000381469727,WAIT,📊 WAIT (Rank),10.28,0.0,🔴 LATE,43.3,19.0,8.56,8.07,9.65,2.2,0.351,0.23,5.9,-1.59,DEGRADED, | 📊 Rank too low: 10.3 < 16.8,,,,
2026-03-17,FAIT,BANKS,33.09000015258789,WAIT,📊 WAIT (Rank),10.21,0.0,🟡 MID,45.7,11.9,32.92,31.45,36.37,2.3,1.094,0.42,2.7,-1.29,DEGRADED, | 📊 Rank too low: 10.2 < 16.8,,,,
2026-03-17,HRHO,SERVICES,25.420000076293945,WAIT,📊 WAIT (Rank),9.99,0.0,🟡 MID,35.5,29.3,25.29,24.05,28.15,2.3,0.911,0.88,-4.4,0.04,DEGRADED, | 📊 Rank too low: 10.0 < 16.8,,,,
2026-03-17,HELI,REAL_ESTATE,5.489999771118164,WAIT,📊 WAIT (Rank),9.62,0.0,🟡 MID,75.2,46.4,5.46,5.08,6.3,2.2,0.271,0.46,-3.4,11.19,DEGRADED, | 📊 Rank too low: 9.6 < 16.8,,,,
2026-03-17,COMI,BANKS,118.80000305175781,WAIT,📊 WAIT (Rank),9.27,0.0,🔴 LATE,38.7,32.1,118.21,110.44,135.51,2.2,5.571,0.53,9.3,-1.11,DEGRADED, | 📊 Rank too low: 9.3 < 16.8,,,,
2026-03-17,FWRY,SERVICES,17.0,WAIT,📊 WAIT (Rank),9.11,0.0,🔴 LATE,39.8,25.3,16.91,15.93,19.13,2.3,0.711,0.45,13.7,-3.02,DEGRADED, | 📊 Rank too low: 9.1 < 16.8,,,,
2026-03-17,OCDI,REAL_ESTATE,17.760000228881836,WAIT,📊 WAIT (Rank),9.09,0.0,🟡 MID,43.5,15.3,17.67,16.64,19.99,2.3,0.744,0.35,-35.4,-0.56,DEGRADED, | 📊 Rank too low: 9.1 < 16.8,,,,
