sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
ISPH,ENERGY,buy,BEAR,2020-03-29,5.3,5.17,5.81,1,False,2020-03-30,5.17,-2.45,1.0,LOSS
ABUK,ENERGY,watch,BEAR,2020-03-29,8.79,8.44,9.63,1,False,2020-03-30,8.44,-3.98,1.0,LOSS
ISPH,ENERGY,buy,BEAR,2020-03-30,5.35,5.21,5.86,2,False,2020-04-01,5.21,-2.62,1.0,LOSS
SAUD,BANKS,ultra,BEAR,2020-04-02,2.41,2.33,2.64,1,False,2020-04-05,2.33,-3.32,1.0,LOSS
SWDY,ENERGY,watch,BEAR,2020-04-06,7.12,6.84,7.8,2,False,2020-04-08,7.8,9.55,2.43,WIN
SAUD,BANKS,watch,BEAR,2020-04-05,2.29,2.22,2.51,6,False,2020-04-13,2.51,9.61,3.14,WIN
HELI,REAL_ESTATE,buy,BULL,2020-04-08,3.51,3.37,3.84,3,False,2020-04-13,3.84,9.4,2.36,WIN
FWRY,SERVICES,early,BEAR,2020-03-31,1.99,1.91,2.18,10,False,2020-04-14,2.18,9.55,2.38,WIN
FAIT,BANKS,buy,BEAR,2020-04-01,6.97,6.69,7.63,10,False,2020-04-15,7.350743293762207,5.46,1.36,EXIT
JUFO,SERVICES,early,NEUTRAL,2020-04-13,6.43,6.17,7.05,2,False,2020-04-15,6.17,-4.04,1.0,LOSS
FAIT,BANKS,early,NEUTRAL,2020-04-15,7.31,7.09,8.01,3,False,2020-04-22,7.09,-3.01,1.0,LOSS
ABUK,ENERGY,watch,NEUTRAL,2020-04-15,8.63,8.28,9.46,3,False,2020-04-22,8.28,-4.06,1.0,LOSS
ESRS,INDUSTRIAL,watch,NEUTRAL,2020-04-13,5.12,4.91,5.61,6,False,2020-04-23,5.61,9.57,2.33,WIN
SWDY,ENERGY,early,BULL,2020-04-08,7.54,7.24,8.26,10,False,2020-04-26,7.918191432952881,5.02,1.26,EXIT
ESRS,INDUSTRIAL,early,NEUTRAL,2020-04-23,5.72,5.49,6.27,1,False,2020-04-26,6.27,9.62,2.39,WIN
SAUD,BANKS,early,NEUTRAL,2020-04-14,2.48,2.38,2.72,10,False,2020-04-30,2.458181858062744,-0.88,0.22,EXIT
HELI,REAL_ESTATE,early,BULL,2020-04-22,4.15,3.98,4.55,7,False,2020-05-03,3.98,-4.1,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-04-26,6.14,5.89,6.73,5,False,2020-05-03,5.89,-4.07,1.0,LOSS
FAIT,BANKS,ultra,NEUTRAL,2020-04-30,7.33,7.11,8.03,1,False,2020-05-03,7.11,-3.0,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2020-04-23,5.3,5.09,5.81,9,False,2020-05-06,5.81,9.62,2.43,WIN
FAIT,BANKS,ultra,NEUTRAL,2020-05-03,7.06,6.85,7.74,4,False,2020-05-07,6.85,-2.97,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-05-03,7.6,7.3,8.33,4,False,2020-05-07,7.3,-3.95,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-05-03,9.5,9.12,10.41,4,False,2020-05-07,9.12,-4.0,1.0,LOSS
ETEL,SERVICES,ultra,NEUTRAL,2020-04-26,7.29,7.07,7.99,10,False,2020-05-10,7.807616233825684,7.1,2.35,EXIT
JUFO,SERVICES,buy,NEUTRAL,2020-05-10,6.57,6.37,7.2,2,False,2020-05-12,7.2,9.59,3.15,WIN
EAST,ENERGY,ultra,NEUTRAL,2020-05-11,7.39,7.17,8.1,2,False,2020-05-13,7.17,-2.98,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-05-12,6.85,6.64,7.51,2,False,2020-05-14,6.64,-3.07,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2020-05-13,4.2,4.07,4.6,1,False,2020-05-14,4.07,-3.1,1.0,LOSS
ISPH,ENERGY,buy,NEUTRAL,2020-05-06,5.77,5.6,6.32,10,False,2020-05-20,5.811724662780762,0.72,0.25,EXIT
OCDI,REAL_ESTATE,watch,NEUTRAL,2020-05-11,9.35,9.07,10.24,7,False,2020-05-20,9.07,-2.99,1.0,LOSS
COMI,BANKS,watch,NEUTRAL,2020-05-10,29.65,28.76,32.48,10,False,2020-05-31,29.211515426635742,-1.48,0.49,EXIT
EAST,ENERGY,buy,NEUTRAL,2020-05-14,7.23,7.01,7.92,6,False,2020-05-31,7.01,-3.04,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-05-14,6.6,6.41,7.24,10,False,2020-06-04,6.573642253875732,-0.4,0.14,EXIT
HRHO,SERVICES,watch,NEUTRAL,2020-05-31,6.06,5.88,6.64,5,False,2020-06-07,6.64,9.57,3.22,WIN
HELI,REAL_ESTATE,ultra,NEUTRAL,2020-06-04,4.28,4.16,4.69,1,False,2020-06-07,4.69,9.58,3.42,WIN
SAUD,BANKS,buy,NEUTRAL,2020-05-20,2.43,2.36,2.66,10,False,2020-06-10,2.4610068798065186,1.28,0.44,EXIT
ISPH,ENERGY,buy,NEUTRAL,2020-05-20,5.78,5.61,6.33,10,False,2020-06-10,5.838850975036621,1.02,0.35,EXIT
SKPC,INDUSTRIAL,early,NEUTRAL,2020-06-07,3.9,3.74,4.27,4,False,2020-06-11,3.74,-4.1,1.0,LOSS
CNFN,BANKS,buy,NEUTRAL,2020-05-31,2.49,2.41,2.73,10,False,2020-06-14,2.6117630004882812,4.89,1.52,EXIT
ADIB,BANKS,ultra,NEUTRAL,2020-06-07,7.22,7.0,7.91,5,False,2020-06-14,7.0,-3.05,1.0,LOSS
EAST,ENERGY,ultra,NEUTRAL,2020-06-10,7.5,7.27,8.21,2,False,2020-06-14,7.27,-3.07,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2020-06-11,5.24,5.03,5.74,1,False,2020-06-14,5.03,-4.01,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-14,4.54,4.36,4.98,2,False,2020-06-16,4.98,9.69,2.44,WIN
HRHO,SERVICES,early,NEUTRAL,2020-06-14,6.75,6.48,7.4,7,False,2020-06-23,7.4,9.63,2.41,WIN
SAUD,BANKS,early,NEUTRAL,2020-06-10,2.45,2.35,2.68,10,False,2020-06-24,2.4384026527404785,-0.47,0.12,EXIT
ETEL,SERVICES,early,NEUTRAL,2020-06-14,8.83,8.47,9.67,8,False,2020-06-24,9.67,9.51,2.33,WIN
CIEB,BANKS,buy,NEUTRAL,2020-06-14,5.06,4.86,5.55,10,False,2020-06-28,5.239068984985352,3.54,0.9,EXIT
FAIT,BANKS,buy,NEUTRAL,2020-06-24,6.26,6.01,6.86,3,False,2020-06-29,6.01,-3.99,1.0,LOSS
TMGH,REAL_ESTATE,buy,NEUTRAL,2020-06-24,5.51,5.34,6.03,3,False,2020-06-29,5.34,-3.09,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2020-06-16,7.76,7.45,8.5,10,False,2020-06-30,7.809840202331543,0.64,0.16,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-29,5.11,4.91,5.6,5,False,2020-07-08,5.6,9.59,2.45,WIN
ISPH,ENERGY,ultra,NEUTRAL,2020-06-23,5.87,5.69,6.43,10,False,2020-07-09,5.886321067810059,0.28,0.09,EXIT
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-08,3.7,3.59,4.06,1,False,2020-07-09,3.59,-2.97,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2020-06-30,7.77,7.46,8.51,6,False,2020-07-12,8.51,9.52,2.39,WIN
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-09,10.45,10.13,11.44,2,False,2020-07-13,10.13,-3.06,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2020-06-28,5.21,5.0,5.71,10,False,2020-07-14,5.173717021942139,-0.7,0.17,EXIT
ABUK,ENERGY,early,NEUTRAL,2020-07-12,8.5,8.16,9.31,2,False,2020-07-14,8.16,-4.0,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-06-29,7.69,7.38,8.42,10,False,2020-07-15,7.38,-4.03,1.0,LOSS
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-09,3.58,3.47,3.93,4,False,2020-07-15,3.47,-3.07,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-13,10.46,10.04,11.45,2,False,2020-07-15,10.04,-4.02,1.0,LOSS
ADIB,BANKS,early,NEUTRAL,2020-07-14,7.55,7.32,8.27,1,False,2020-07-15,7.32,-3.05,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2020-07-14,8.17,7.84,8.95,1,False,2020-07-15,7.84,-4.04,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-15,9.95,9.55,10.9,1,False,2020-07-16,9.55,-4.02,1.0,LOSS
CIEB,BANKS,watch,NEUTRAL,2020-07-15,5.14,4.99,5.64,1,False,2020-07-16,4.99,-2.92,1.0,LOSS
OCDI,REAL_ESTATE,buy,NEUTRAL,2020-07-16,10.11,9.7,11.07,3,False,2020-07-21,11.07,9.5,2.34,WIN
CNFN,BANKS,early,NEUTRAL,2020-07-15,2.93,2.81,3.21,8,False,2020-07-28,3.21,9.56,2.33,WIN
SKPC,INDUSTRIAL,watch,NEUTRAL,2020-07-22,3.65,3.54,3.99,4,False,2020-07-29,3.99,9.32,3.09,WIN
ORWE,SERVICES,early,NEUTRAL,2020-07-15,3.4,3.26,3.72,10,False,2020-08-04,3.632951021194458,6.85,1.66,EXIT
ADIB,BANKS,watch,NEUTRAL,2020-07-15,7.15,6.94,7.84,10,False,2020-08-04,7.84,9.65,3.29,WIN
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-21,10.99,10.54,12.03,7,False,2020-08-05,12.03,9.46,2.31,WIN
MFPC,ENERGY,ultra,NEUTRAL,2020-07-28,32.77,31.78,35.89,6,False,2020-08-10,35.89,9.52,3.15,WIN
ADIB,BANKS,early,NEUTRAL,2020-08-05,7.77,7.58,8.52,5,False,2020-08-12,8.52,9.65,3.95,WIN
FAIT,BANKS,ultra,NEUTRAL,2020-07-29,6.14,5.95,6.72,9,False,2020-08-16,6.72,9.45,3.05,WIN
TMGH,REAL_ESTATE,ultra,NEUTRAL,2020-08-04,5.56,5.39,6.09,8,False,2020-08-16,6.09,9.53,3.12,WIN
HRHO,SERVICES,early,NEUTRAL,2020-08-04,7.68,7.37,8.41,8,False,2020-08-16,8.41,9.51,2.35,WIN
ESRS,INDUSTRIAL,watch,NEUTRAL,2020-08-16,6.06,5.88,6.64,5,False,2020-08-24,6.64,9.57,3.22,WIN
EAST,ENERGY,ultra,NEUTRAL,2020-08-10,6.97,6.76,7.64,10,False,2020-08-25,7.366142749786377,5.68,1.89,EXIT
SWDY,ENERGY,early,NEUTRAL,2020-08-12,6.5,6.31,7.13,9,False,2020-08-26,7.13,9.69,3.32,WIN
JUFO,SERVICES,ultra,NEUTRAL,2020-08-26,6.81,6.61,7.47,1,False,2020-08-27,6.61,-2.94,1.0,LOSS
ETEL,SERVICES,buy,NEUTRAL,2020-08-16,9.48,9.1,10.38,10,False,2020-08-31,9.691219329833984,2.23,0.56,EXIT
FAIT,BANKS,watch,NEUTRAL,2020-08-16,6.66,6.39,7.29,10,False,2020-08-31,6.678743362426758,0.28,0.07,EXIT
EAST,ENERGY,early,NEUTRAL,2020-08-25,7.33,7.11,8.03,5,False,2020-09-01,7.11,-3.0,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-08-27,6.97,6.69,7.63,5,False,2020-09-03,6.69,-4.02,1.0,LOSS
MFPC,ENERGY,early,NEUTRAL,2020-08-31,37.94,36.42,41.56,3,False,2020-09-03,36.42,-4.01,1.0,LOSS
MFPC,ENERGY,buy,NEUTRAL,2020-09-03,36.46,35.0,39.94,1,False,2020-09-06,35.0,-4.0,1.0,LOSS
COMI,BANKS,early,BULL,2020-08-24,31.4,30.45,34.4,10,False,2020-09-07,31.08279800415039,-1.01,0.33,EXIT
ETEL,SERVICES,buy,NEUTRAL,2020-08-31,9.64,9.26,10.56,5,False,2020-09-07,10.56,9.54,2.42,WIN
ABUK,ENERGY,buy,NEUTRAL,2020-09-03,9.82,9.43,10.76,3,False,2020-09-08,9.43,-3.97,1.0,LOSS
ETEL,SERVICES,watch,NEUTRAL,2020-09-07,10.45,10.03,11.45,1,False,2020-09-08,10.03,-4.02,1.0,LOSS
EAST,ENERGY,watch,NEUTRAL,2020-09-01,7.13,6.91,7.81,7,False,2020-09-10,6.91,-3.09,1.0,LOSS
ETEL,SERVICES,early,NEUTRAL,2020-09-08,9.71,9.32,10.64,2,False,2020-09-10,9.32,-4.02,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2020-09-08,9.51,9.13,10.42,6,False,2020-09-16,10.42,9.57,2.39,WIN
ESRS,INDUSTRIAL,early,NEUTRAL,2020-09-10,6.58,6.31,7.21,7,False,2020-09-21,6.31,-4.1,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-09-13,5.19,4.99,5.69,6,False,2020-09-21,4.99,-3.85,1.0,LOSS
COMI,BANKS,watch,NEUTRAL,2020-09-09,30.8,29.56,33.74,10,False,2020-09-23,31.124588012695312,1.05,0.26,EXIT
ABUK,ENERGY,early,NEUTRAL,2020-09-21,10.16,9.75,11.13,3,False,2020-09-24,11.13,9.55,2.37,WIN
CIEB,BANKS,buy,NEUTRAL,2020-09-13,4.73,4.59,5.18,10,False,2020-09-27,4.647268772125244,-1.75,0.59,EXIT
ORWE,SERVICES,ultra,NEUTRAL,2020-09-16,3.45,3.34,3.78,8,False,2020-09-28,3.78,9.57,3.0,WIN
ABUK,ENERGY,early,NEUTRAL,2020-09-24,10.94,10.5,11.98,2,False,2020-09-28,10.5,-4.02,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-09-27,7.01,6.73,7.68,3,False,2020-09-30,6.73,-3.99,1.0,LOSS
MFPC,ENERGY,ultra,NEUTRAL,2020-09-21,35.48,34.41,38.87,10,False,2020-10-05,35.011741638183594,-1.32,0.44,EXIT
SKPC,INDUSTRIAL,early,NEUTRAL,2020-09-23,5.52,5.3,6.05,8,False,2020-10-05,5.3,-3.99,1.0,LOSS
HELI,REAL_ESTATE,ultra,NEUTRAL,2020-10-05,5.37,5.21,5.89,2,False,2020-10-07,5.89,9.68,3.25,WIN
ABUK,ENERGY,early,NEUTRAL,2020-09-28,10.29,9.88,11.27,9,False,2020-10-12,9.88,-3.98,1.0,LOSS
SAUD,BANKS,early,NEUTRAL,2020-09-28,2.87,2.76,3.14,10,False,2020-10-13,2.8820056915283203,0.42,0.11,EXIT
ESRS,INDUSTRIAL,early,NEUTRAL,2020-09-30,6.79,6.51,7.43,8,False,2020-10-13,6.51,-4.12,1.0,LOSS
SWDY,ENERGY,ultra,NEUTRAL,2020-10-05,6.54,6.34,7.17,6,False,2020-10-14,7.17,9.63,3.15,WIN
TMGH,REAL_ESTATE,early,NEUTRAL,2020-10-07,6.24,5.99,6.84,9,False,2020-10-21,5.99,-4.01,1.0,LOSS
EAST,ENERGY,ultra,NEUTRAL,2020-10-13,7.08,6.87,7.76,6,False,2020-10-21,6.87,-2.97,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-10-14,7.09,6.88,7.77,5,False,2020-10-21,6.88,-2.96,1.0,LOSS
ETEL,SERVICES,early,BULL,2020-10-12,9.01,8.65,9.87,8,False,2020-10-22,8.65,-4.0,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-10-21,6.96,6.68,7.62,1,False,2020-10-22,6.68,-4.02,1.0,LOSS
ORWE,SERVICES,buy,NEUTRAL,2020-10-21,3.8,3.65,4.16,1,False,2020-10-22,3.65,-3.95,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2020-10-21,10.0,9.7,10.96,1,False,2020-10-22,9.7,-3.0,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2020-10-13,31.23,29.98,34.21,8,False,2020-10-25,29.98,-4.0,1.0,LOSS
JUFO,SERVICES,buy,NEUTRAL,2020-10-22,6.17,5.98,6.76,1,False,2020-10-25,5.98,-3.08,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2020-10-22,9.76,9.46,10.69,1,False,2020-10-25,9.46,-3.07,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2020-10-27,6.81,6.54,7.46,1,False,2020-10-28,7.46,9.54,2.41,WIN
JUFO,SERVICES,buy,NEUTRAL,2020-10-25,6.09,5.91,6.68,4,False,2020-11-01,5.91,-2.96,1.0,LOSS
SWDY,ENERGY,watch,NEUTRAL,2020-10-22,6.77,6.5,7.41,6,False,2020-11-02,6.5,-3.99,1.0,LOSS
ISPH,ENERGY,buy,NEUTRAL,2020-10-25,4.79,4.64,5.24,5,False,2020-11-02,4.64,-3.13,1.0,LOSS
ABUK,ENERGY,watch,NEUTRAL,2020-10-25,9.55,9.27,10.47,5,False,2020-11-02,10.47,9.63,3.29,WIN
ORWE,SERVICES,early,NEUTRAL,2020-10-28,4.0,3.84,4.38,3,False,2020-11-03,3.84,-4.0,1.0,LOSS
FWRY,SERVICES,watch,NEUTRAL,2020-11-02,7.31,7.02,8.01,2,False,2020-11-04,8.01,9.58,2.41,WIN
FAIT,BANKS,early,NEUTRAL,2020-11-03,7.05,6.77,7.72,4,False,2020-11-09,7.72,9.5,2.39,WIN
SAUD,BANKS,early,NEUTRAL,2020-11-02,2.85,2.73,3.12,7,False,2020-11-11,3.12,9.47,2.25,WIN
ETEL,SERVICES,watch,NEUTRAL,2020-11-01,8.63,8.37,9.46,10,False,2020-11-15,8.742228507995605,1.3,0.43,EXIT
ABUK,ENERGY,ultra,NEUTRAL,2020-11-02,10.34,10.03,11.33,10,False,2020-11-16,11.33,9.57,3.19,WIN
ISPH,ENERGY,ultra,NEUTRAL,2020-11-11,4.98,4.83,5.45,3,False,2020-11-16,4.83,-3.01,1.0,LOSS
OCDI,REAL_ESTATE,buy,NEUTRAL,2020-11-05,11.84,11.37,12.97,8,False,2020-11-17,12.97,9.54,2.4,WIN
ISPH,ENERGY,watch,BULL,2020-11-17,4.86,4.71,5.32,1,False,2020-11-18,4.71,-3.09,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-11-15,6.42,6.23,7.03,5,False,2020-11-22,6.23,-2.96,1.0,LOSS
FAIT,BANKS,early,NEUTRAL,2020-11-09,7.55,7.25,8.27,10,False,2020-11-23,7.4332709312438965,-1.55,0.39,EXIT
HELI,REAL_ESTATE,ultra,NEUTRAL,2020-11-16,5.8,5.63,6.36,5,False,2020-11-23,6.36,9.66,3.29,WIN
