sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
ISPH,ENERGY,buy,NEUTRAL,2020-03-29,5.3,5.17,5.81,1,False,2020-03-30,5.17,-2.45,1.0,LOSS
ABUK,ENERGY,watch,NEUTRAL,2020-03-29,8.79,8.44,9.63,1,False,2020-03-30,8.44,-3.98,1.0,LOSS
JUFO,SERVICES,watch,NEUTRAL,2020-03-29,5.34,5.13,5.85,3,False,2020-04-01,5.13,-3.93,1.0,LOSS
ISPH,ENERGY,buy,NEUTRAL,2020-03-30,5.35,5.21,5.86,2,False,2020-04-01,5.21,-2.62,1.0,LOSS
ESRS,INDUSTRIAL,watch,NEUTRAL,2020-03-29,4.75,4.56,5.21,5,False,2020-04-05,4.56,-4.0,1.0,LOSS
SKPC,INDUSTRIAL,watch,NEUTRAL,2020-03-29,3.32,3.18,3.63,5,False,2020-04-05,3.18,-4.22,1.0,LOSS
SWDY,ENERGY,buy,NEUTRAL,2020-04-05,6.84,6.57,7.49,2,False,2020-04-07,7.49,9.5,2.41,WIN
FAIT,BANKS,buy,NEUTRAL,2020-03-30,6.78,6.51,7.43,9,False,2020-04-12,7.43,9.59,2.41,WIN
SAUD,BANKS,watch,NEUTRAL,2020-04-05,2.29,2.22,2.51,6,False,2020-04-13,2.51,9.61,3.14,WIN
FWRY,SERVICES,early,NEUTRAL,2020-04-01,2.01,1.93,2.21,9,False,2020-04-14,2.21,9.95,2.5,WIN
ISPH,ENERGY,watch,NEUTRAL,2020-04-01,5.07,4.86,5.55,10,False,2020-04-15,5.2210540771484375,2.98,0.72,EXIT
JUFO,SERVICES,early,NEUTRAL,2020-04-13,6.43,6.17,7.05,2,False,2020-04-15,6.17,-4.04,1.0,LOSS
FAIT,BANKS,early,NEUTRAL,2020-04-12,7.33,7.04,8.03,6,False,2020-04-22,7.04,-3.96,1.0,LOSS
ABUK,ENERGY,watch,NEUTRAL,2020-04-15,8.63,8.28,9.46,3,False,2020-04-22,8.28,-4.06,1.0,LOSS
SWDY,ENERGY,early,BULL,2020-04-07,7.46,7.16,8.18,10,False,2020-04-23,7.667879581451416,2.79,0.69,EXIT
ESRS,INDUSTRIAL,buy,BULL,2020-04-22,5.41,5.19,5.92,2,False,2020-04-26,5.92,9.43,2.32,WIN
TMGH,REAL_ESTATE,watch,NEUTRAL,2020-04-15,4.84,4.64,5.3,6,False,2020-04-27,5.3,9.5,2.3,WIN
SAUD,BANKS,early,NEUTRAL,2020-04-14,2.48,2.38,2.72,10,False,2020-04-30,2.458181858062744,-0.88,0.22,EXIT
HELI,REAL_ESTATE,early,BULL,2020-04-22,4.15,3.98,4.55,7,False,2020-05-03,3.98,-4.1,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-04-27,4.19,4.02,4.59,4,False,2020-05-03,4.02,-4.06,1.0,LOSS
FAIT,BANKS,ultra,NEUTRAL,2020-04-30,7.33,7.11,8.03,1,False,2020-05-03,7.11,-3.0,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2020-04-23,5.3,5.09,5.81,9,False,2020-05-06,5.81,9.62,2.43,WIN
FAIT,BANKS,ultra,NEUTRAL,2020-05-03,7.06,6.85,7.74,4,False,2020-05-07,6.85,-2.97,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-05-03,9.5,9.12,10.41,4,False,2020-05-07,9.12,-4.0,1.0,LOSS
ETEL,SERVICES,ultra,NEUTRAL,2020-04-26,7.29,7.07,7.99,10,False,2020-05-10,7.807615280151367,7.1,2.35,EXIT
CIEB,BANKS,watch,NEUTRAL,2020-05-03,5.04,4.89,5.53,5,False,2020-05-10,4.89,-2.98,1.0,LOSS
JUFO,SERVICES,buy,NEUTRAL,2020-05-11,6.57,6.37,7.2,1,False,2020-05-12,7.2,9.59,3.15,WIN
JUFO,SERVICES,early,NEUTRAL,2020-05-12,6.85,6.64,7.51,2,False,2020-05-14,6.64,-3.07,1.0,LOSS
ISPH,ENERGY,buy,NEUTRAL,2020-05-06,5.77,5.6,6.32,10,False,2020-05-20,5.811724662780762,0.72,0.25,EXIT
FWRY,SERVICES,early,NEUTRAL,2020-05-07,2.36,2.26,2.58,9,False,2020-05-20,2.58,9.32,2.2,WIN
OCDI,REAL_ESTATE,watch,NEUTRAL,2020-05-11,9.35,9.07,10.24,7,False,2020-05-20,9.07,-2.99,1.0,LOSS
COMI,BANKS,watch,NEUTRAL,2020-05-10,29.65,28.76,32.48,10,False,2020-05-31,29.211515426635742,-1.48,0.49,EXIT
JUFO,SERVICES,early,NEUTRAL,2020-05-14,6.6,6.41,7.24,10,False,2020-06-04,6.573641777038574,-0.4,0.14,EXIT
TMGH,REAL_ESTATE,ultra,NEUTRAL,2020-06-04,4.81,4.66,5.27,1,False,2020-06-07,5.27,9.56,3.07,WIN
SAUD,BANKS,buy,NEUTRAL,2020-05-20,2.43,2.36,2.66,10,False,2020-06-10,2.4610068798065186,1.28,0.44,EXIT
ISPH,ENERGY,buy,NEUTRAL,2020-05-20,5.78,5.61,6.33,10,False,2020-06-10,5.838850975036621,1.02,0.35,EXIT
FAIT,BANKS,buy,NEUTRAL,2020-05-21,5.95,5.71,6.52,10,False,2020-06-11,6.053900718688965,1.75,0.43,EXIT
ORWE,SERVICES,watch,NEUTRAL,2020-05-31,3.0,2.88,3.29,10,False,2020-06-14,3.050621271133423,1.69,0.42,EXIT
ADIB,BANKS,ultra,NEUTRAL,2020-06-07,7.22,7.0,7.91,5,False,2020-06-14,7.0,-3.05,1.0,LOSS
EAST,ENERGY,ultra,NEUTRAL,2020-06-10,7.5,7.27,8.21,2,False,2020-06-14,7.27,-3.07,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2020-06-10,5.16,5.01,5.65,2,False,2020-06-14,5.01,-2.91,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-14,4.54,4.36,4.98,2,False,2020-06-16,4.98,9.69,2.44,WIN
HRHO,SERVICES,early,NEUTRAL,2020-06-11,6.72,6.52,7.36,8,False,2020-06-23,7.36,9.52,3.2,WIN
ETEL,SERVICES,early,NEUTRAL,2020-06-14,8.83,8.47,9.67,8,False,2020-06-24,9.67,9.51,2.33,WIN
HRHO,SERVICES,early,NEUTRAL,2020-06-23,7.29,6.99,7.98,2,False,2020-06-25,7.98,9.47,2.3,WIN
COMI,BANKS,buy,NEUTRAL,2020-06-14,31.13,30.19,34.1,10,False,2020-06-28,30.62310218811035,-1.63,0.54,EXIT
EAST,ENERGY,watch,NEUTRAL,2020-06-14,7.25,7.03,7.94,10,False,2020-06-28,7.279482364654541,0.41,0.13,EXIT
ABUK,ENERGY,early,NEUTRAL,2020-06-16,7.76,7.45,8.5,10,False,2020-06-30,7.809840202331543,0.64,0.16,EXIT
ETEL,SERVICES,early,NEUTRAL,2020-06-28,9.28,8.9,10.16,5,False,2020-07-07,10.16,9.48,2.32,WIN
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-28,5.17,4.96,5.66,6,False,2020-07-08,5.66,9.48,2.33,WIN
SAUD,BANKS,ultra,NEUTRAL,2020-07-07,2.44,2.37,2.67,2,False,2020-07-09,2.37,-2.87,1.0,LOSS
ISPH,ENERGY,ultra,NEUTRAL,2020-06-24,5.94,5.76,6.5,10,False,2020-07-12,5.913447856903076,-0.45,0.15,EXIT
CIEB,BANKS,early,NEUTRAL,2020-06-25,5.14,4.94,5.64,10,False,2020-07-13,5.220916271209717,1.57,0.4,EXIT
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-08,10.5,10.19,11.51,3,False,2020-07-13,10.19,-2.95,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2020-07-12,8.5,8.16,9.31,2,False,2020-07-14,8.16,-4.0,1.0,LOSS
ADIB,BANKS,early,NEUTRAL,2020-07-13,7.68,7.45,8.42,1,False,2020-07-14,7.45,-2.99,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-06-30,7.73,7.42,8.47,9,False,2020-07-15,7.42,-4.01,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-13,10.46,10.04,11.45,2,False,2020-07-15,10.04,-4.02,1.0,LOSS
ADIB,BANKS,early,NEUTRAL,2020-07-14,7.55,7.32,8.27,1,False,2020-07-15,7.32,-3.05,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2020-07-14,8.17,7.84,8.95,1,False,2020-07-15,7.84,-4.04,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-15,9.95,9.55,10.9,1,False,2020-07-16,9.55,-4.02,1.0,LOSS
CIEB,BANKS,watch,NEUTRAL,2020-07-15,5.14,4.99,5.64,1,False,2020-07-16,4.99,-2.92,1.0,LOSS
OCDI,REAL_ESTATE,buy,NEUTRAL,2020-07-16,10.11,9.7,11.07,3,False,2020-07-21,11.07,9.5,2.34,WIN
ORWE,SERVICES,early,NEUTRAL,2020-07-09,3.24,3.11,3.55,10,False,2020-07-26,3.55,9.57,2.38,WIN
CNFN,BANKS,early,NEUTRAL,2020-07-15,2.93,2.81,3.21,8,False,2020-07-28,3.21,9.56,2.33,WIN
HRHO,SERVICES,early,NEUTRAL,2020-07-26,8.31,7.97,9.1,2,False,2020-07-28,7.97,-4.09,1.0,LOSS
ADIB,BANKS,watch,NEUTRAL,2020-07-15,7.15,6.94,7.84,10,False,2020-08-04,7.84,9.65,3.29,WIN
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-21,10.99,10.54,12.03,7,False,2020-08-05,12.03,9.46,2.31,WIN
MFPC,ENERGY,ultra,NEUTRAL,2020-07-28,32.77,31.78,35.89,6,False,2020-08-10,35.89,9.52,3.15,WIN
ORWE,SERVICES,buy,NEUTRAL,2020-07-26,3.55,3.41,3.89,10,False,2020-08-12,3.6779611110687256,3.6,0.91,EXIT
HRHO,SERVICES,early,NEUTRAL,2020-07-28,7.84,7.52,8.59,10,False,2020-08-16,7.994443893432617,1.97,0.48,EXIT
TMGH,REAL_ESTATE,ultra,NEUTRAL,2020-08-05,5.64,5.47,6.17,7,False,2020-08-16,6.17,9.4,3.12,WIN
ETEL,SERVICES,early,NEUTRAL,2020-08-04,9.41,9.04,10.31,10,False,2020-08-18,9.418025970458984,0.09,0.02,EXIT
EAST,ENERGY,ultra,NEUTRAL,2020-08-10,6.97,6.76,7.64,10,False,2020-08-25,7.366142749786377,5.68,1.89,EXIT
SWDY,ENERGY,early,NEUTRAL,2020-08-12,6.5,6.31,7.13,9,False,2020-08-26,7.13,9.69,3.32,WIN
JUFO,SERVICES,ultra,NEUTRAL,2020-08-26,6.81,6.61,7.47,1,False,2020-08-27,6.61,-2.94,1.0,LOSS
MFPC,ENERGY,early,NEUTRAL,2020-08-16,37.49,35.98,41.07,10,False,2020-08-31,38.132686614990234,1.71,0.43,EXIT
FAIT,BANKS,watch,NEUTRAL,2020-08-16,6.66,6.39,7.29,10,False,2020-08-31,6.678743839263916,0.28,0.07,EXIT
EAST,ENERGY,early,NEUTRAL,2020-08-27,7.33,7.11,8.03,3,False,2020-09-01,7.11,-3.0,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-08-18,7.82,7.51,8.57,10,False,2020-09-02,7.69999885559082,-1.53,0.39,EXIT
COMI,BANKS,early,NEUTRAL,2020-08-25,31.69,30.73,34.72,7,False,2020-09-03,30.73,-3.03,1.0,LOSS
MFPC,ENERGY,early,NEUTRAL,2020-09-01,37.67,36.16,41.27,2,False,2020-09-03,36.16,-4.01,1.0,LOSS
MFPC,ENERGY,buy,NEUTRAL,2020-09-03,36.46,35.0,39.94,1,False,2020-09-06,35.0,-4.0,1.0,LOSS
ETEL,SERVICES,buy,NEUTRAL,2020-08-31,9.64,9.26,10.56,5,False,2020-09-07,10.56,9.54,2.42,WIN
SWDY,ENERGY,early,NEUTRAL,2020-08-31,6.8,6.53,7.45,6,False,2020-09-08,6.53,-3.97,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2020-09-06,9.62,9.23,10.53,2,False,2020-09-08,9.23,-4.05,1.0,LOSS
OCDI,REAL_ESTATE,buy,NEUTRAL,2020-09-07,11.93,11.57,13.07,1,False,2020-09-08,11.57,-3.02,1.0,LOSS
ETEL,SERVICES,watch,NEUTRAL,2020-09-07,10.45,10.03,11.45,1,False,2020-09-08,10.03,-4.02,1.0,LOSS
FWRY,SERVICES,watch,NEUTRAL,2020-09-06,6.27,6.02,6.87,4,False,2020-09-10,6.02,-3.99,1.0,LOSS
ETEL,SERVICES,early,NEUTRAL,2020-09-08,9.71,9.32,10.64,2,False,2020-09-10,9.32,-4.02,1.0,LOSS
ESRS,INDUSTRIAL,watch,NEUTRAL,2020-09-13,6.82,6.55,7.47,2,False,2020-09-15,6.55,-3.96,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2020-09-08,9.51,9.13,10.42,6,False,2020-09-16,10.42,9.57,2.39,WIN
SKPC,INDUSTRIAL,early,NEUTRAL,2020-09-13,5.19,4.99,5.69,6,False,2020-09-21,4.99,-3.85,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-09-15,6.6,6.34,7.23,4,False,2020-09-21,6.34,-3.94,1.0,LOSS
CIEB,BANKS,buy,NEUTRAL,2020-09-10,4.69,4.55,5.13,10,False,2020-09-24,4.645452976226807,-0.95,0.32,EXIT
ABUK,ENERGY,early,NEUTRAL,2020-09-21,10.16,9.75,11.13,3,False,2020-09-24,11.13,9.55,2.37,WIN
COMI,BANKS,buy,NEUTRAL,2020-09-13,31.38,30.12,34.38,10,False,2020-09-27,31.059579849243164,-1.02,0.25,EXIT
ORWE,SERVICES,ultra,NEUTRAL,2020-09-16,3.45,3.34,3.78,8,False,2020-09-28,3.78,9.57,3.0,WIN
ABUK,ENERGY,early,NEUTRAL,2020-09-24,10.94,10.5,11.98,2,False,2020-09-28,10.5,-4.02,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-09-24,5.62,5.39,6.15,3,False,2020-09-29,5.39,-4.09,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-09-27,7.01,6.73,7.68,3,False,2020-09-30,6.73,-3.99,1.0,LOSS
MFPC,ENERGY,ultra,NEUTRAL,2020-09-21,35.48,34.41,38.87,10,False,2020-10-05,35.011741638183594,-1.32,0.44,EXIT
ABUK,ENERGY,early,NEUTRAL,2020-09-28,10.29,9.88,11.27,9,False,2020-10-12,9.88,-3.98,1.0,LOSS
