Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
SAUD,BANKS,18.00,26.9,50,+1.2,+19.7%,0.6x,50%,▫️ LIGHT,🟢 EARLY,0.38,0.16,0.40,0.33,🔴🧿👑🔵BASE,🥇 → 👁️ WATCH (data quality),📈 BULLISH,13.1%,24.21,PROBE,📅 Swing (3-10d),17.91,17.19,19.62,694,26%,2.4x,🔥 ELITE,🟢 LOW,↓,0.58,-3.1%,-0.5,"RSI healthy | ✗No clear phase | 💧 CMF Boost: 0.16 → ×1.1 | 🛡️ DataGuard DEGRADED (59) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=18.00)",✅ OK
ADIB,BANKS,37.50,22.8,46,+1.4,+17.6%,0.4x,39%,▫️ LIGHT,🟢 EARLY,0.29,0.28,0.50,0.50,🔴🧿🔵BASE,🥈 → 👁️ WATCH (data quality),📈 BULLISH,9.9%,18.16,PROBE,📆 Position (wks),37.31,35.81,40.88,333,25%,2.4x,💎 STRONG,🟡 MED,↓,1.92,-7.0%,-1.5,"✗No clear phase | ✗RSI neutral (46) | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=37.50)",✅ OK
SWDY,ENERGY,78.00,23.0,47,-0.4,+1.0%,0.2x,28%,▫️ LIGHT,🟢 EARLY,0.10,0.24,0.30,0.28,🔴🔔🔵BASE,🥉 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,16.57,WAIT,📆 Position (wks),77.61,73.65,86.69,1,—,2.3x,—,🟡 MED,↓,2.90,-2.2%,-0.7, | 📊 Rank too low: 16.6 < 16.8,✅ OK
CIEB,BANKS,22.38,31.9,45,+7.5,+3.7%,0.4x,44%,▫️ LIGHT,🟢 EARLY,0.29,0.26,0.50,0.33,🔴🔀BEAR_DIV,#4 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.85,WAIT,📆 Position (wks),22.27,20.91,25.32,1,—,2.2x,—,⚠️ HIGH,↑,0.98,-1.2%,-0.8, | 📊 Rank too low: 14.9 < 16.8,✅ OK
MFPC,ENERGY,43.20,52.0,66,+6.7,+28.8%,0.6x,83%,▫️ LIGHT,🟡 MID,0.00,0.14,0.00,0.11,🔵🔀BEAR_DIV,#5 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.80,WAIT,📆 Position (wks),42.98,39.69,50.22,1,—,2.2x,—,⚠️ HIGH,↑,2.34,7.2%,-0.5, | 📊 Rank too low: 14.8 < 16.8,✅ OK
PHDC,REAL_ESTATE,8.20,19.7,37,-3.5,+1.0%,1.4x,28%,▫️ LIGHT,🔴 LATE,0.24,0.21,0.25,0.50,🔴🔕🔵BASE,#6 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.61,WAIT,📆 Position (wks),8.16,7.64,9.31,1,—,2.2x,—,🟡 MED,↓,0.37,-11.2%,0.6, | 📊 Rank too low: 14.6 < 16.8,✅ OK
ORWE,SERVICES,22.10,22.5,41,-1.1,-3.7%,0.6x,6%,▫️ LIGHT,🔴 LATE,0.00,0.27,0.10,0.28,🔴🔵BASE,#7 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.36,WAIT,📆 Position (wks),21.99,21.15,24.01,1,—,2.4x,—,⚠️ HIGH,↓,0.64,-3.4%,-0.7, | 📊 Rank too low: 14.4 < 16.8,✅ OK
AMOC,INDUSTRIAL,9.20,34.2,70,+11.5,+24.8%,1.2x,89%,▫️ LIGHT,🟡 MID,0.14,0.16,0.15,0.22,🔵🔀BEAR_DIV,#8 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.36,WAIT,📆 Position (wks),9.15,8.42,10.77,1,—,2.2x,—,⚠️ HIGH,↑,0.52,9.2%,0.3, | 📊 Rank too low: 14.4 < 16.8,✅ OK
ABUK,ENERGY,86.67,34.7,68,+6.9,+50.0%,0.7x,72%,▫️ LIGHT,🟡 MID,0.24,0.26,0.20,0.00,🔵🔀BEAR_DIV,#9 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.28,WAIT,📆 Position (wks),86.24,77.40,105.21,1,—,2.1x,—,⚠️ HIGH,↑,6.18,10.3%,-0.4, | 📊 Rank too low: 14.3 < 16.8,✅ OK
JUFO,SERVICES,26.00,30.3,38,-0.0,-4.9%,0.9x,17%,▫️ LIGHT,🟡 MID,0.00,0.17,0.30,0.56,🔴🔵BASE,#10 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.79,WAIT,📆 Position (wks),25.87,24.58,28.83,1,—,2.3x,—,🟢 LOW,↓,0.94,-4.2%,-0.1, | 📊 Rank too low: 13.8 < 16.8,✅ OK
