Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
TMGH,REAL_ESTATE,73.81,36.8,33,-3.9,+4.4%,0.7x,28%,▫️ LIGHT,🔴 LATE,0.29,0.20,0.30,0.33,🔴🔕🔵BASE,#11 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.48,WAIT,📆 Position (wks),73.44,68.58,84.26,1,—,2.2x,—,⚠️ HIGH,↓,3.48,-13.1%,-0.5, | 📊 Rank too low: 13.5 < 16.8,✅ OK
OCDI,REAL_ESTATE,17.54,15.1,42,-1.5,-36.0%,0.3x,0%,▫️ LIGHT,🔴 LATE,0.00,0.16,0.25,0.28,🔴🔵BASE,#12 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.33,WAIT,📆 Position (wks),17.45,16.48,19.66,1,—,2.3x,—,🟡 MED,↓,0.71,-10.9%,-0.7, | 📊 Rank too low: 13.3 < 16.8,✅ OK
SKPC,INDUSTRIAL,17.51,23.9,53,-2.5,-5.7%,0.5x,17%,▫️ LIGHT,🟡 MID,0.00,0.25,0.30,0.28,🔴🔵BASE,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.03,WAIT,📆 Position (wks),17.42,16.10,20.33,1,—,2.2x,—,⚠️ HIGH,↓,0.94,-0.5%,-0.8, | 📊 Rank too low: 13.0 < 16.8,✅ OK
ISPH,ENERGY,10.23,29.1,34,-4.0,-2.1%,0.6x,17%,▫️ LIGHT,🔴 LATE,0.00,0.19,0.30,0.33,🔴🔵BASE,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.53,WAIT,📆 Position (wks),10.18,9.58,11.54,1,—,2.3x,—,🟢 LOW,↓,0.44,-9.0%,-0.6, | 📊 Rank too low: 12.5 < 16.8,✅ OK
KZPC,INDUSTRIAL,9.84,17.4,45,-2.3,-5.9%,0.4x,0%,▫️ LIGHT,🟡 MID,0.00,0.26,0.45,0.28,🔴🔵BASE,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.77,WAIT,📆 Position (wks),9.79,9.19,11.14,1,—,2.3x,—,⚠️ HIGH,↓,0.43,-3.8%,-0.4, | 📊 Rank too low: 11.8 < 16.8,✅ OK
COMI,BANKS,117.20,32.6,37,-4.5,+7.8%,1.2x,33%,▫️ LIGHT,🔴 LATE,0.24,0.20,0.25,0.33,🔴🔕⚠️CLIMAX_SELL,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.46,WAIT,📆 Position (wks),116.61,108.68,134.24,1,—,2.2x,—,⚠️ HIGH,↓,5.68,-9.6%,0.4, | 📊 Rank too low: 11.5 < 16.8,✅ OK
FWRY,SERVICES,16.70,25.3,37,-4.1,+11.6%,1.2x,33%,▫️ LIGHT,🔴 LATE,0.24,0.20,0.25,0.33,🔴🔕🔵BASE,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.64,WAIT,📆 Position (wks),16.62,15.62,18.85,1,—,2.2x,—,🟢 LOW,↓,0.72,-8.5%,0.8, | 📊 Rank too low: 10.6 < 16.8,✅ OK
EAST,ENERGY,37.10,25.9,43,-2.4,-3.2%,0.4x,17%,▫️ LIGHT,🔴 LATE,0.00,0.27,0.50,0.33,🟡👑🔵BASE,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.39,WAIT,📆 Position (wks),36.91,34.42,42.47,1,—,2.2x,—,⚠️ HIGH,↓,1.79,-7.2%,-0.4, | 📊 Rank too low: 10.4 < 16.8,✅ OK
ETEL,SERVICES,81.00,27.6,41,-3.4,+29.4%,0.4x,28%,▫️ LIGHT,🔴 LATE,0.19,0.30,0.20,0.33,🔴🔵BASE,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.16,WAIT,📆 Position (wks),80.59,75.84,91.33,1,—,2.3x,—,🟢 LOW,↓,3.44,-11.1%,-1.7, | 📊 Rank too low: 10.2 < 16.8,✅ OK
HELI,REAL_ESTATE,5.29,45.2,66,+5.4,-6.8%,0.4x,67%,▫️ LIGHT,🟡 MID,0.10,0.12,0.10,0.11,🔵🔵BASE,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.92,WAIT,📆 Position (wks),5.26,4.90,6.06,1,—,2.2x,—,🟡 MED,↑,0.26,7.7%,-1.0, | 📊 Rank too low: 9.9 < 16.8,✅ OK
EGTS,SERVICES,7.15,43.2,39,+1.6,-7.9%,0.4x,22%,▫️ LIGHT,🟡 MID,0.29,0.30,0.30,0.33,🔴🧿👑🔀BEAR_DIV,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.71,WAIT,📆 Position (wks),7.11,6.82,7.82,1,—,2.4x,—,🟡 MED,↑,0.22,-4.3%,-0.4, | 📊 Rank too low: 8.7 < 16.8,✅ OK
HRHO,SERVICES,25.02,30.1,33,-2.4,-5.8%,0.9x,11%,▫️ LIGHT,🔴 LATE,0.00,0.19,0.10,0.33,🔴🔵BASE,#22 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.23,WAIT,📆 Position (wks),24.89,23.60,27.85,1,—,2.3x,—,🟢 LOW,↓,0.94,-9.4%,-0.2, | 📊 Rank too low: 8.2 < 16.8,✅ OK
CNFN,BANKS,4.00,38.3,37,-0.2,-14.2%,0.5x,17%,▫️ LIGHT,🟡 MID,0.00,0.16,0.30,0.33,🔴🔵BASE,#23 ↓ ❌ SELL,📉 BEARISH,10.6%,19.10,WAIT,⚡ Intraday,3.98,3.82,4.36,3124,25%,2.4x,💎 STRONG,🟢 LOW,↓,0.15,-4.9%,-1.0,"ADX strong (38) | ✗No clear phase | ✗RSI neutral (37) | ⚡ Flow>Tech divergence | 🛡️ DataGuard DEGRADED (61) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=4.00)",✅ OK
