sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
FWRY,SERVICES,early,NEUTRAL,2025-03-27,9.55,9.17,10.46,2,False,2025-04-06,9.17,-3.98,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2025-03-27,31.01,29.76,33.97,2,False,2025-04-06,29.76,-4.03,1.0,LOSS
AMOC,INDUSTRIAL,buy,NEUTRAL,2025-03-27,7.12,6.9,7.8,2,False,2025-04-06,6.9,-3.09,1.0,LOSS
SKPC,INDUSTRIAL,buy,NEUTRAL,2025-03-27,20.6,20.08,22.57,2,False,2025-04-06,20.08,-2.52,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2025-03-27,19.02,18.25,20.83,3,False,2025-04-07,18.25,-4.05,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-06,10.99,10.71,12.04,1,False,2025-04-07,10.71,-2.55,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2025-04-06,9.02,8.66,9.89,1,False,2025-04-07,8.66,-3.99,1.0,LOSS
JUFO,SERVICES,watch,NEUTRAL,2025-04-06,32.28,31.31,35.37,1,False,2025-04-07,31.31,-3.0,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-07,10.89,10.62,11.93,2,False,2025-04-09,10.62,-2.48,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2025-04-06,8.44,8.1,9.25,4,False,2025-04-10,9.25,9.6,2.38,WIN
JUFO,SERVICES,buy,NEUTRAL,2025-04-07,31.05,29.8,34.02,10,False,2025-04-23,30.622465133666992,-1.38,0.34,EXIT
CNFN,BANKS,watch,NEUTRAL,2025-04-07,4.22,4.05,4.62,10,False,2025-04-23,4.21999979019165,-0.0,0.0,EXIT
DSCW,REAL_ESTATE,early,NEUTRAL,2025-04-08,2.56,2.45,2.8,10,False,2025-04-27,2.6600000858306885,3.91,0.91,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-09,10.29,9.88,11.27,10,False,2025-04-28,10.792996406555176,4.89,1.23,EXIT
