Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
FAIT,BANKS,33.90,12.5,52,-0.0,+5.2%,0.4x,33%,▫️ LIGHT,🟢 EARLY,0.43,0.25,0.45,0.28,🔴⚠️CLIMAX_SELL,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.40,WAIT,📆 Position (wks),33.73,32.06,37.57,1,—,2.3x,—,⚠️ HIGH,→,1.22,-1.1%,-0.6, | 📊 Rank too low: 15.4 < 16.8,✅ OK
HELI,REAL_ESTATE,5.61,46.9,82,+11.5,-1.4%,0.4x,39%,▫️ LIGHT,🟡 MID,0.10,0.13,0.10,0.00,🔵🟢BULL_CONF,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.79,WAIT,📆 Position (wks),5.58,5.18,6.47,1,—,2.2x,—,⚠️ HIGH,→,0.29,15.9%,-1.1, | 📊 Rank too low: 14.8 < 16.8,✅ OK
SAUD,BANKS,18.00,28.8,50,-1.7,+20.4%,0.4x,39%,▫️ LIGHT,🟡 MID,0.38,0.14,0.40,0.33,🔴🧿⚠️CLIMAX_SELL,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.73,WAIT,📆 Position (wks),17.91,16.97,20.07,1,—,2.3x,—,⚠️ HIGH,→,0.69,-2.7%,-0.8, | 📊 Rank too low: 13.7 < 16.8,✅ OK
ISPH,ENERGY,10.67,24.9,39,-7.2,+2.1%,1.6x,33%,▫️ LIGHT,🔴 LATE,0.29,0.21,0.30,0.72,🔴🔕⚠️CLIMAX_SELL,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.07,WAIT,📆 Position (wks),10.62,9.90,12.21,1,—,2.2x,—,🟢 LOW,→,0.51,-7.2%,0.9, | 📊 Rank too low: 13.1 < 16.8,✅ OK
HRHO,SERVICES,26.58,29.0,43,+1.3,-0.1%,0.5x,28%,▫️ LIGHT,🟡 MID,0.29,0.17,0.30,0.33,🔴🧿🔕🔀BEAR_DIV,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.62,WAIT,📆 Position (wks),26.45,25.11,29.53,1,—,2.3x,—,🟢 LOW,→,0.98,-6.1%,-1.4, | 📊 Rank too low: 12.6 < 16.8,✅ OK
EAST,ENERGY,35.00,20.3,32,-4.6,-8.8%,0.9x,6%,▫️ LIGHT,🔴 LATE,0.00,0.21,0.45,0.50,🔴🔕🔵BASE,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.97,WAIT,📆 Position (wks),34.83,32.36,40.29,1,—,2.2x,—,⚠️ HIGH,→,1.76,-14.4%,-0.1, | 📊 Rank too low: 12.0 < 16.8,✅ OK
CNFN,BANKS,4.13,39.6,42,+4.5,-11.8%,0.8x,28%,▫️ LIGHT,🟡 MID,0.29,0.25,0.30,0.33,🔴🔀BEAR_DIV,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.91,WAIT,📆 Position (wks),4.11,3.88,4.64,1,—,2.3x,—,🟢 LOW,→,0.17,-4.7%,-0.3, | 📊 Rank too low: 11.9 < 16.8,✅ OK
ETEL,SERVICES,84.80,31.8,46,-6.0,+36.8%,0.6x,22%,▫️ LIGHT,🟡 MID,0.43,0.50,0.60,0.61,🔴🔵BASE,#22 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.84,WAIT,📆 Position (wks),84.38,79.24,95.91,1,—,2.2x,—,🟡 MED,→,3.70,-9.8%,-0.7, | 📊 Rank too low: 11.8 < 16.8,✅ OK
EGTS,SERVICES,7.26,42.7,42,-0.5,-6.7%,0.8x,17%,▫️ LIGHT,🟡 MID,0.00,0.34,0.30,0.33,🔴🟢BULL_CONF,#23 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.57,WAIT,📆 Position (wks),7.22,6.93,7.92,1,—,2.4x,—,🟡 MED,→,0.22,-3.7%,-0.1, | 📊 Rank too low: 11.6 < 16.8,✅ OK
JUFO,SERVICES,26.51,30.0,41,-1.5,-3.1%,0.5x,11%,▫️ LIGHT,🔴 LATE,0.00,0.27,0.30,0.33,🔴🔕⚠️CLIMAX_SELL,#24 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.85,WAIT,📆 Position (wks),26.38,25.03,29.46,1,—,2.3x,—,🟢 LOW,→,0.98,-3.8%,-0.7, | 📊 Rank too low: 10.8 < 16.8,✅ OK
