Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
CIEB,BANKS,23.30,36.0,53,+4.1,+8.0%,1.7x,83%,🧲 HEAVY,🟢 EARLY,0.71,0.54,0.70,0.83,🔵💥🧿🟢BULL_CONF  🎯 Hunter ⚡,🥇 → 👁️ WATCH (data quality),📈 BULLISH,100.0%,44.70,PROBE,⚡ Intraday,23.18,22.60,25.40,172,92%,3.8x,🔥 ELITE,🟡 MED,→,0.95,2.2%,1.0,Expansion phase | ADX strong (36) | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ADIB,BANKS,41.00,27.5,58,+0.4,+29.2%,0.8x,61%,🧲 BUILDING,🟢 EARLY,0.62,0.39,0.60,0.61,🔴🧿👑🟢BULL_CONF,🥈 → 👁️ WATCH (data quality),📈 BULLISH,99.6%,32.05,PROBE,📅 Swing (3-10d),40.80,39.77,44.69,97,92%,3.8x,🔥 ELITE,🟡 MED,→,2.11,2.1%,-0.7,RSI healthy | Vol confirmed | ✗No clear phase | 💧 CMF Boost: 0.15 → ×1.1 | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
AMOC,INDUSTRIAL,8.88,30.5,70,+26.9,+21.3%,1.4x,89%,▫️ LIGHT,🟡 MID,0.19,0.26,0.35,0.44,🔵🟢BULL_CONF   ⚡,🥉 → 👁️ WATCH (data quality),📈 BULLISH,99.2%,29.69,PROBE,📅 Swing (3-10d),8.84,8.48,9.68,277,92%,2.3x,🔥 ELITE,⚠️ HIGH,→,0.46,9.5%,0.4,Expansion phase | ADX strong (30) | ✗RSI neutral (70) | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (61),✅ OK
COMI,BANKS,125.30,32.0,45,+1.5,+15.5%,1.3x,44%,▫️ LIGHT,🟢 EARLY,0.43,0.32,0.65,0.56,🔴🧿🔵BASE  🎯 Hunter,#4 → 👁️ WATCH (data quality),📈 BULLISH,99.2%,29.49,PROBE,📅 Swing (3-10d),124.67,119.66,136.58,19,92%,2.4x,🔥 ELITE,⚠️ HIGH,→,5.63,-4.5%,0.6,"ADX strong (32) | ✗No clear phase | ✗RSI neutral (45) | 🛡️ DataGuard DEGRADED (61) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=125.30)",✅ OK
KZPC,INDUSTRIAL,10.05,19.5,50,+3.2,-4.0%,1.4x,33%,▫️ LIGHT,🟢 EARLY,0.43,0.29,0.60,0.50,🔴🟢BULL_CONF,#5 → ⚠️ WATCH (Weak Sector),⏸️ NEUTRAL,98.7%,27.52,PROBE,📆 Position (wks),10.00,9.70,10.95,333,92%,3.2x,🔥 ELITE,⚠️ HIGH,→,0.43,-2.0%,0.3,RSI healthy | Vol confirmed | ✗No clear phase | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: TREND_NOT_CONFIRMED(price=10.05),✅ OK
SWDY,ENERGY,79.50,23.6,53,+2.7,+3.0%,0.3x,56%,▫️ LIGHT,🟢 EARLY,0.48,0.24,0.50,0.50,🔵🧿👑🔔🟢BULL_CONF,#6 → 👁️ WATCH (data quality),📈 BULLISH,97.3%,24.25,PROBE,📆 Position (wks),79.10,75.92,86.66,31,92%,2.4x,🔥 ELITE,⚠️ HIGH,→,3.11,-0.3%,-0.6,Expansion phase | RSI healthy | 🛡️ DataGuard DEGRADED (63),✅ OK
PHDC,REAL_ESTATE,8.80,20.5,47,+0.4,+8.5%,0.2x,33%,▫️ LIGHT,🟢 EARLY,0.62,0.26,0.65,0.50,🔴🧿🔵BASE,#7 → 👁️ WATCH (data quality),📈 BULLISH,96.7%,23.34,PROBE,📆 Position (wks),8.76,8.49,9.59,370,92%,3.1x,🔥 ELITE,⚠️ HIGH,→,0.39,-4.9%,-1.0,"✗No clear phase | ✗RSI neutral (47) | 🛡️ DataGuard DEGRADED (64) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=8.80)",✅ OK
ORWE,SERVICES,22.87,23.0,52,+4.2,-0.4%,0.5x,44%,▫️ LIGHT,🟢 EARLY,0.48,0.27,0.50,0.50,🔵🧿🟢BULL_CONF,#8 → 👁️ WATCH (data quality),📈 BULLISH,95.8%,22.27,PROBE,📆 Position (wks),22.76,21.84,24.93,108,92%,2.4x,🔥 ELITE,⚠️ HIGH,→,0.66,-1.7%,-0.5,Expansion phase | RSI healthy | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (62),✅ OK
SKPC,INDUSTRIAL,18.35,24.6,62,+7.8,-1.5%,0.4x,67%,▫️ LIGHT,🟢 EARLY,0.10,0.21,0.10,0.28,🔵🔔🔀BEAR_DIV,#9 → 👁️ WATCH (data quality),📈 BULLISH,95.8%,22.26,PROBE,📆 Position (wks),18.26,17.52,20.00,135,92%,2.4x,🔥 ELITE,⚠️ HIGH,→,0.86,5.1%,-0.8,Expansion phase | Strong mom | ✗RSI neutral (62) | ✗Bear vol div | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (62),✅ OK
FWRY,SERVICES,17.40,26.6,43,+0.3,+16.8%,1.3x,44%,▫️ LIGHT,🟡 MID,0.43,0.32,0.45,0.56,🔴⚠️CLIMAX_SELL  🎯 Hunter,#10 → 👁️ WATCH (data quality),📈 BULLISH,94.7%,21.12,PROBE,📅 Swing (3-10d),17.31,16.62,18.97,144,92%,2.4x,🔥 ELITE,🟢 LOW,→,0.80,-6.9%,0.8,"✗No clear phase | ✗RSI neutral (43) | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=17.40)",✅ OK
OCDI,REAL_ESTATE,18.32,16.9,49,+1.0,-33.9%,0.1x,33%,▫️ LIGHT,🟢 EARLY,0.62,0.26,0.65,0.50,🟡🧿👑🔕🔵BASE,#11 → 👁️ WATCH (data quality),📈 BULLISH,91.1%,18.47,PROBE,📆 Position (wks),18.23,17.68,19.97,181,88%,3.2x,🔥 ELITE,🟡 MED,→,0.81,-6.7%,-1.0,"Accum phase | RSI healthy | ✗ADX weak (17) | ✗Bear EMA cross | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=18.32)",✅ OK
ABUK,ENERGY,85.00,32.4,69,+15.0,+49.5%,0.8x,72%,▫️ LIGHT,🟡 MID,0.24,0.36,0.20,0.28,🔵🔀BEAR_DIV,#12 → 👁️ WATCH (data quality),📈 BULLISH,89.5%,17.48,PROBE,📅 Swing (3-10d),84.58,81.17,92.65,29,87%,2.4x,🔥 ELITE,⚠️ HIGH,→,5.79,11.4%,-0.4,Expansion phase | ADX strong (32) | ✗RSI neutral (69) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (62),✅ OK
MFPC,ENERGY,43.51,49.5,71,+17.0,+30.7%,0.7x,50%,▫️ LIGHT,🟡 MID,0.24,0.26,0.20,0.00,🔵🔀BEAR_DIV,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.81,WAIT,📆 Position (wks),43.29,40.12,50.29,1,—,2.2x,—,⚠️ HIGH,→,2.26,11.1%,-0.4, | 📊 Rank too low: 15.8 < 16.8,✅ OK
TMGH,REAL_ESTATE,79.95,35.5,42,-2.1,+13.3%,0.6x,33%,▫️ LIGHT,🔴 LATE,0.52,0.32,0.50,0.61,🟡🔕🔵BASE,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.60,WAIT,📆 Position (wks),79.55,74.51,90.83,1,—,2.2x,—,⚠️ HIGH,→,3.63,-6.5%,-0.8, | 📊 Rank too low: 15.6 < 16.8,✅ OK
