Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
KZPC,INDUSTRIAL,10.11,20.0,51,+6.5,-3.5%,2.0x,39%,▫️ LIGHT,🟢 EARLY,0.62,0.41,0.65,0.72,🔴🟢BULL_CONF  🎯 Hunter ⚡,🥇 → ⚠️ WATCH (Weak Sector),⏸️ NEUTRAL,99.9%,40.57,PROBE,📆 Position (wks),10.06,9.76,11.02,333,92%,3.2x,🔥 ELITE,⚠️ HIGH,↓,0.44,-1.5%,0.7,RSI healthy | Vol confirmed | ✗No clear phase | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (60),✅ OK
SKPC,INDUSTRIAL,18.01,24.9,60,+11.4,-3.4%,0.7x,61%,▫️ LIGHT,🟢 EARLY,0.29,0.16,0.30,0.50,🔵🔔🟢BULL_CONF,🥈 → 👁️ WATCH (data quality),📈 BULLISH,99.7%,33.28,PROBE,📆 Position (wks),17.92,17.20,19.63,138,92%,2.4x,🔥 ELITE,⚠️ HIGH,↑,0.86,3.4%,-0.5,Expansion phase | RSI healthy | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (62),✅ OK
ORWE,SERVICES,23.06,23.9,55,+4.7,+0.4%,0.5x,56%,▫️ LIGHT,🟢 EARLY,0.48,0.27,0.50,0.50,🔵🧿🟢BULL_CONF,🥉 → 👁️ WATCH (data quality),📈 BULLISH,99.5%,31.18,PROBE,📆 Position (wks),22.94,22.02,25.14,108,92%,2.4x,🔥 ELITE,⚠️ HIGH,↑,0.71,-0.9%,-0.5,Expansion phase | RSI healthy | 🛡️ DataGuard DEGRADED (62),✅ OK
AMOC,INDUSTRIAL,8.57,29.6,67,+29.1,+17.2%,1.5x,89%,▫️ LIGHT,🟡 MID,0.29,0.26,0.30,0.56,🔵🟢BULL_CONF   ⚡,#4 → 👁️ WATCH (data quality),📈 BULLISH,99.4%,30.28,PROBE,📅 Swing (3-10d),8.53,8.18,9.34,285,92%,2.3x,🔥 ELITE,⚠️ HIGH,↑,0.45,7.1%,0.5,Expansion phase | Vol confirmed | ✗RSI neutral (67) | 🛡️ DataGuard DEGRADED (61),✅ OK
SWDY,ENERGY,79.40,24.1,53,+3.6,+2.8%,0.3x,56%,▫️ LIGHT,🟢 EARLY,0.48,0.26,0.50,0.50,🔵🧿👑🔔🟢BULL_CONF,#5 → 👁️ WATCH (data quality),📈 BULLISH,99.2%,29.41,PROBE,📆 Position (wks),79.00,75.83,86.55,31,92%,2.4x,🔥 ELITE,⚠️ HIGH,↑,3.39,-0.4%,-0.6,Expansion phase | RSI healthy | 🛡️ DataGuard DEGRADED (63),✅ OK
FWRY,SERVICES,17.90,27.7,47,+0.3,+20.3%,1.5x,50%,▫️ LIGHT,🟢 EARLY,0.38,0.38,0.40,0.56,🔴🟢BULL_CONF  🎯 Hunter,#6 → 👁️ WATCH (data quality),📈 BULLISH,99.0%,28.67,PROBE,📅 Swing (3-10d),17.81,17.09,19.51,138,92%,2.4x,🔥 ELITE,⚠️ HIGH,↑,0.88,-4.5%,1.1,Vol confirmed | ✗No clear phase | ✗RSI neutral (47) | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
PHDC,REAL_ESTATE,8.90,22.0,49,-0.5,+9.8%,0.5x,39%,▫️ LIGHT,🟢 EARLY,0.71,0.49,0.70,0.78,🔴🧿👑🟢BULL_CONF,#7 → 👁️ WATCH (data quality),📈 BULLISH,96.8%,23.49,PROBE,📆 Position (wks),8.86,8.63,9.70,434,92%,3.7x,🔥 ELITE,⚠️ HIGH,→,0.41,-3.6%,-0.6,RSI healthy | Vol confirmed | ✗No clear phase | 🛡️ DataGuard DEGRADED (64) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
FAIT,BANKS,34.17,13.4,54,+1.2,+6.1%,0.5x,39%,▫️ LIGHT,🟢 EARLY,0.43,0.18,0.45,0.28,🔴⚠️CLIMAX_SELL,#8 → ⏳ WAIT (ADX),⏸️ NEUTRAL,96.5%,23.11,WAIT,📆 Position (wks),34.00,32.97,37.25,97,—,3.2x,🔥 ELITE,⚠️ HIGH,↓,1.31,-0.1%,-0.5,RSI healthy | ✗No clear phase | ✗ADX weak (13) | 🛡️ DataGuard DEGRADED (60),✅ OK
MFPC,ENERGY,41.90,48.6,68,+23.4,+26.2%,0.7x,83%,▫️ LIGHT,🟡 MID,0.00,0.23,0.00,0.11,🔵🔀BEAR_DIV,#9 → 👁️ WATCH (data quality),📈 BULLISH,96.1%,22.57,PROBE,⚡ Intraday,41.69,40.01,45.67,59,92%,2.4x,🔥 ELITE,⚠️ HIGH,→,2.24,8.4%,-0.4,Expansion phase | ADX strong (49) | ✗RSI neutral (68) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (62),✅ OK
COMI,BANKS,129.50,32.6,50,-2.5,+19.6%,0.7x,39%,🧲 BUILDING,🟡 MID,0.62,0.53,0.60,0.61,🔴🧿👑🔀BEAR_DIV,#10 → 👁️ WATCH (data quality),📈 BULLISH,95.7%,22.20,PROBE,📅 Swing (3-10d),128.85,125.61,141.16,30,92%,3.8x,🔥 ELITE,⚠️ HIGH,↑,5.62,-1.5%,-0.5,ADX strong (33) | RSI healthy | ✗No clear phase | ✗Bear vol div | 🛡️ DataGuard DEGRADED (61) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
