Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
CIEB,BANKS,22.19,37.8,43,-0.4,+3.0%,1.6x,44%,▫️ LIGHT,🟡 MID,0.52,0.40,0.50,0.83,🔴🟢BULL_CONF  🎯 Hunter,#11 → 👁️ WATCH (data quality),📈 BULLISH,95.4%,21.85,PROBE,⚡ Intraday,22.08,21.52,24.19,178,92%,3.8x,🔥 ELITE,🟡 MED,↑,0.95,-3.0%,0.8,ADX strong (38) | Vol confirmed | ✗No clear phase | ✗RSI neutral (43) | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ADIB,BANKS,38.97,29.6,51,-5.0,+23.1%,1.0x,39%,🧲 BUILDING,🟡 MID,0.76,0.42,0.75,0.83,🔴🧿👑🟢BULL_CONF,#12 → 👁️ WATCH (data quality),📈 BULLISH,95.3%,21.69,PROBE,📅 Swing (3-10d),38.78,37.80,42.48,102,92%,3.8x,🔥 ELITE,⚠️ HIGH,↑,2.18,-2.6%,0.0,RSI healthy | Vol confirmed | ✗No clear phase | ✗Weak mom | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ABUK,ENERGY,79.90,31.7,64,+22.5,+41.1%,0.9x,72%,▫️ LIGHT,🟢 EARLY,0.00,0.18,0.00,0.11,🔵🔀BEAR_DIV,#13 → 👁️ WATCH (data quality),📈 BULLISH,94.5%,20.97,PROBE,📅 Swing (3-10d),79.50,76.30,87.09,31,92%,2.4x,🔥 ELITE,⚠️ HIGH,↓,5.53,6.4%,-0.2,Expansion phase | ADX strong (32) | ✗RSI neutral (64) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (62),✅ OK
JUFO,SERVICES,26.58,30.0,42,-1.5,-2.8%,1.4x,22%,▫️ LIGHT,🔴 LATE,0.52,0.57,0.50,0.83,🔴🔕🟢BULL_CONF  🎯 Hunter,#14 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,19.47,WAIT,📆 Position (wks),26.45,25.05,29.64,1,—,2.3x,—,🟢 LOW,→,1.02,-3.9%,0.6, | ⏳ In LATE zone,✅ OK
OCDI,REAL_ESTATE,18.11,18.0,47,+0.9,-35.0%,0.3x,22%,▫️ LIGHT,🟢 EARLY,0.43,0.29,0.65,0.50,🟡🧿🔕🟢BULL_CONF,#15 → 👀 WATCH,⏸️ NEUTRAL,90.2%,17.87,PROBE,📆 Position (wks),18.02,17.48,19.74,185,86%,3.2x,🔥 ELITE,🟡 MED,↑,0.88,-8.1%,-0.8,Accum phase | Vol confirmed | ✗RSI neutral (47) | ✗Bear EMA cross | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
HELI,REAL_ESTATE,5.64,46.3,83,+10.3,-1.1%,0.6x,39%,▫️ LIGHT,🟡 MID,0.10,0.16,0.10,0.00,🔵🔀BEAR_DIV,#16 → 🥵 WAIT (RSI 83),⏸️ NEUTRAL,0.0%,17.63,WAIT,📆 Position (wks),5.61,5.21,6.51,1,—,2.2x,—,⚠️ HIGH,↑,0.29,17.4%,-0.7, | 🥵 RSI Overbought 83,✅ OK
TMGH,REAL_ESTATE,79.80,35.6,41,-6.7,+13.2%,1.1x,28%,▫️ LIGHT,🔴 LATE,0.67,0.44,0.65,0.83,🔴🔕🔀BEAR_DIV,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.49,WAIT,📆 Position (wks),79.40,73.90,91.60,1,—,2.2x,—,⚠️ HIGH,↑,3.93,-6.9%,0.2, | 📊 Rank too low: 15.5 < 16.8,✅ OK
ISPH,ENERGY,10.65,23.6,39,-6.4,+1.9%,2.3x,33%,▫️ LIGHT,🔴 LATE,0.10,0.35,0.10,0.50,🔴🔕⚠️CLIMAX_SELL,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.30,WAIT,📆 Position (wks),10.60,9.82,12.31,1,—,2.2x,—,🟡 MED,↓,0.55,-8.7%,2.1, | 📊 Rank too low: 15.3 < 16.8,✅ OK
HRHO,SERVICES,26.68,29.6,43,-1.2,+0.2%,0.9x,28%,▫️ LIGHT,🔴 LATE,0.52,0.56,0.50,0.61,🔴🔕🟢BULL_CONF,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.81,WAIT,📆 Position (wks),26.55,25.07,29.90,1,—,2.3x,—,🟡 MED,↑,1.07,-7.0%,-0.3, | 📊 Rank too low: 14.8 < 16.8,✅ OK
EAST,ENERGY,37.85,18.1,41,-3.9,-1.6%,0.4x,11%,▫️ LIGHT,🔴 LATE,0.00,0.22,0.45,0.50,🔴🔕,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.69,WAIT,📆 Position (wks),37.66,35.40,42.76,1,—,2.3x,—,⚠️ HIGH,↑,1.64,-6.4%,-0.5, | 📊 Rank too low: 14.7 < 16.8,✅ OK
SAUD,BANKS,18.11,29.1,52,-3.1,+21.3%,0.5x,39%,▫️ LIGHT,🟡 MID,0.38,0.17,0.40,0.33,🔴🧿⚠️CLIMAX_SELL,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.22,WAIT,📆 Position (wks),18.02,17.05,20.23,1,—,2.3x,—,⚠️ HIGH,↑,0.71,-1.8%,-0.7, | 📊 Rank too low: 14.2 < 16.8,✅ OK
ETEL,SERVICES,84.01,33.7,45,-6.9,+36.1%,0.6x,22%,▫️ LIGHT,🟡 MID,0.19,0.32,0.40,0.33,🔴🔵BASE,#22 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.03,WAIT,📆 Position (wks),83.59,77.93,96.16,1,—,2.2x,—,🟡 MED,↑,4.05,-11.1%,-0.8, | 📊 Rank too low: 13.0 < 16.8,✅ OK
CNFN,BANKS,4.03,40.3,36,+3.3,-14.0%,0.6x,28%,▫️ LIGHT,🟡 MID,0.29,0.21,0.30,0.33,🔴🔀BEAR_DIV,#23 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.47,WAIT,📆 Position (wks),4.01,3.78,4.54,1,—,2.3x,—,🟢 LOW,↑,0.17,-7.6%,-0.5, | 📊 Rank too low: 11.5 < 16.8,✅ OK
EGTS,SERVICES,7.13,42.0,36,-1.4,-8.4%,0.5x,11%,▫️ LIGHT,🔴 LATE,0.00,0.38,0.30,0.33,🔴⚠️CLIMAX_SELL,#24 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,7.67,WAIT,📆 Position (wks),7.09,6.79,7.80,1,—,2.4x,—,🟡 MED,↑,0.22,-5.9%,-0.3, | 📊 Rank too low: 7.7 < 16.8,✅ OK
