sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
EAST,ENERGY,early,NEUTRAL,2025-03-27,31.01,29.76,33.97,2,False,2025-04-06,29.76,-4.03,1.0,LOSS
SKPC,INDUSTRIAL,buy,NEUTRAL,2025-03-27,20.6,20.08,22.57,2,False,2025-04-06,20.08,-2.52,1.0,LOSS
ABUK,ENERGY,watch,NEUTRAL,2025-03-27,50.25,48.23,55.05,2,False,2025-04-06,48.23,-4.02,1.0,LOSS
JUFO,SERVICES,ultra,NEUTRAL,2025-04-03,32.92,32.1,36.07,1,False,2025-04-06,32.1,-2.49,1.0,LOSS
MFPC,ENERGY,watch,NEUTRAL,2025-03-27,38.18,36.64,41.82,3,False,2025-04-07,36.64,-4.03,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-06,10.99,10.71,12.04,1,False,2025-04-07,10.71,-2.55,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2025-04-06,9.02,8.66,9.89,1,False,2025-04-07,8.66,-3.99,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-07,10.89,10.62,11.93,2,False,2025-04-09,10.62,-2.48,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2025-04-06,8.44,8.1,9.25,4,False,2025-04-10,9.25,9.6,2.38,WIN
CIEB,BANKS,early,NEUTRAL,2025-04-06,18.38,17.64,20.13,10,False,2025-04-22,18.649999618530273,1.47,0.36,EXIT
JUFO,SERVICES,buy,NEUTRAL,2025-04-07,31.05,29.8,34.02,10,False,2025-04-23,30.622465133666992,-1.38,0.34,EXIT
MFPC,ENERGY,watch,NEUTRAL,2025-04-07,37.16,36.04,40.71,10,False,2025-04-23,39.430545806884766,6.11,2.03,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-09,10.29,9.88,11.27,10,False,2025-04-28,10.792996406555176,4.89,1.23,EXIT
EAST,ENERGY,early,NEUTRAL,2025-04-10,31.26,30.01,34.25,10,False,2025-04-29,32.80720901489258,4.95,1.24,EXIT
DSCW,REAL_ESTATE,early,NEUTRAL,2025-04-22,2.68,2.57,2.93,9,False,2025-05-07,2.57,-4.1,1.0,LOSS
ETEL,SERVICES,early,NEUTRAL,2025-04-23,34.13,33.1,37.39,10,False,2025-05-11,35.0,2.55,0.84,EXIT
FWRY,SERVICES,early,NEUTRAL,2025-04-23,10.15,9.74,11.12,10,False,2025-05-11,9.800000190734863,-3.45,0.85,EXIT
SWDY,ENERGY,early,NEUTRAL,2025-04-28,80.49,78.06,88.17,8,False,2025-05-11,78.06,-3.02,1.0,LOSS
PHDC,REAL_ESTATE,ultra,BULL,2025-05-07,6.97,6.76,7.64,2,False,2025-05-11,6.76,-3.01,1.0,LOSS
KZPC,INDUSTRIAL,ultra,NEUTRAL,2025-04-29,10.88,10.56,11.92,10,False,2025-05-14,10.920305252075195,0.37,0.13,EXIT
ISPH,ENERGY,early,NEUTRAL,2025-05-11,8.99,8.63,9.85,7,False,2025-05-20,9.85,9.57,2.39,WIN
TMGH,REAL_ESTATE,early,NEUTRAL,2025-05-11,53.07,50.94,58.14,8,False,2025-05-21,50.94,-4.01,1.0,LOSS
ETEL,SERVICES,buy,NEUTRAL,2025-05-11,34.83,33.42,38.15,10,False,2025-05-25,36.310001373291016,4.25,1.05,EXIT
HELI,REAL_ESTATE,buy,NEUTRAL,2025-05-11,10.61,10.19,11.63,10,False,2025-05-25,10.985384941101074,3.54,0.89,EXIT
ADIB,BANKS,buy,NEUTRAL,2025-05-14,40.06,38.85,43.88,8,False,2025-05-26,38.85,-3.02,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-05-25,10.93,10.49,11.97,6,False,2025-06-02,10.49,-4.03,1.0,LOSS
CNFN,BANKS,early,NEUTRAL,2025-05-20,4.56,4.37,4.99,10,False,2025-06-03,4.739999771118164,3.95,0.95,EXIT
FWRY,SERVICES,early,NEUTRAL,2025-05-21,11.14,10.81,12.21,10,False,2025-06-04,11.0600004196167,-0.72,0.24,EXIT
