Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
CIEB,BANKS,23.02,32.7,51,+9.3,+6.7%,0.4x,50%,▫️ LIGHT,🟢 EARLY,0.48,0.30,0.50,0.33,🔴🧿🟢BULL_CONF,🥇 → 👁️ WATCH (data quality),📈 BULLISH,14.2%,32.24,PROBE,📅 Swing (3-10d),22.90,21.98,25.09,543,28%,2.4x,🔥 ELITE,🟡 MED,→,0.95,1.1%,-0.8,ADX strong (33) | RSI healthy | ✗No clear phase | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: TREND_NOT_CONFIRMED(price=23.02),✅ OK
SAUD,BANKS,18.38,27.4,56,+0.7,+22.5%,0.3x,78%,🧲 BUILDING,🟢 EARLY,0.62,0.25,0.60,0.33,🟡🧿👑🔀BEAR_DIV   🧬,🥈 → 👁️ WATCH (data quality),📈 BULLISH,11.7%,20.83,PROBE,📅 Swing (3-10d),18.29,17.83,20.03,1086,25%,3.8x,🔥 ELITE,🟡 MED,→,0.60,-1.0%,-1.0,Accum phase | RSI healthy | ✗Bear vol div | 💧 CMF Boost: 0.20 → ×1.1 | 🛡️ DataGuard DEGRADED (59) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ADIB,BANKS,38.00,24.2,48,+3.3,+19.4%,0.8x,44%,▫️ LIGHT,🟢 EARLY,0.38,0.30,0.40,0.50,🔵🔀BEAR_DIV,🥉 → 👁️ WATCH (data quality),📈 BULLISH,11.6%,20.65,PROBE,📆 Position (wks),37.81,36.29,41.42,328,25%,2.4x,🔥 ELITE,🟡 MED,→,1.96,-5.9%,-0.6,Expansion phase | Strong mom | ✗RSI neutral (48) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: TREND_NOT_CONFIRMED(price=38.00),✅ OK
ORWE,SERVICES,22.50,22.0,46,+1.2,-1.9%,1.1x,22%,▫️ LIGHT,🟢 EARLY,0.24,0.29,0.45,0.50,🔴🔵BASE,#4 → 👀 WATCH,⏸️ NEUTRAL,8.8%,16.85,PROBE,📆 Position (wks),22.39,21.49,24.53,555,24%,2.4x,💎 STRONG,🟡 MED,→,0.62,-3.1%,0.1,"✗No clear phase | ✗RSI neutral (46) | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=22.50)",✅ OK
SKPC,INDUSTRIAL,18.01,24.8,59,+1.0,-3.1%,0.6x,39%,▫️ LIGHT,🟢 EARLY,0.29,0.13,0.30,0.28,🔴🧿🔵BASE,#5 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.72,WAIT,📆 Position (wks),17.92,16.65,20.72,1,—,2.2x,—,⚠️ HIGH,→,0.90,2.7%,-0.7, | 📊 Rank too low: 14.7 < 16.8,✅ OK
JUFO,SERVICES,26.68,29.9,44,+0.5,-2.4%,1.1x,28%,▫️ LIGHT,🟡 MID,0.43,0.30,0.45,0.56,🔴🧿🔀BEAR_DIV,#6 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.77,WAIT,📆 Position (wks),26.55,25.29,29.46,1,—,2.3x,—,🟢 LOW,→,0.93,-2.2%,0.1, | 📊 Rank too low: 13.8 < 16.8,✅ OK
AMOC,INDUSTRIAL,9.38,32.9,74,+19.4,+27.6%,1.3x,56%,▫️ LIGHT,🟡 MID,0.14,0.22,0.15,0.22,🔵🔀BEAR_DIV,#7 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.54,WAIT,📆 Position (wks),9.33,8.63,10.89,1,—,2.2x,—,⚠️ HIGH,→,0.50,12.2%,0.3, | 📊 Rank too low: 13.5 < 16.8,✅ OK
KZPC,INDUSTRIAL,9.91,18.3,47,-0.7,-5.2%,0.8x,11%,▫️ LIGHT,🟢 EARLY,0.00,0.28,0.45,0.28,🔴🔵BASE,#8 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.02,WAIT,📆 Position (wks),9.86,9.26,11.21,1,—,2.3x,—,⚠️ HIGH,→,0.43,-3.2%,-0.2, | 📊 Rank too low: 13.0 < 16.8,✅ OK
EGTS,SERVICES,7.12,42.8,38,+1.3,-8.3%,0.1x,22%,▫️ LIGHT,🟡 MID,0.29,0.29,0.30,0.33,🔴🧿🔀BEAR_DIV,#9 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.21,WAIT,📆 Position (wks),7.08,6.78,7.80,1,—,2.4x,—,🟡 MED,→,0.23,-5.0%,-0.5, | 📊 Rank too low: 12.2 < 16.8,✅ OK
SWDY,ENERGY,78.30,23.0,48,+0.7,+1.4%,0.3x,39%,▫️ LIGHT,🟢 EARLY,0.29,0.24,0.30,0.28,🔴🧿🔔🔵BASE,#10 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.20,WAIT,📆 Position (wks),77.91,73.85,87.20,1,—,2.3x,—,🟡 MED,→,2.97,-1.8%,-0.7, | 📊 Rank too low: 12.2 < 16.8,✅ OK
