Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ABUK,ENERGY,86.00,34.5,68,+9.2,+49.8%,1.2x,78%,▫️ LIGHT,🟡 MID,0.14,0.16,0.15,0.33,🔵🔀BEAR_DIV,#11 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.57,WAIT,📆 Position (wks),85.57,77.19,103.63,1,—,2.2x,—,⚠️ HIGH,→,5.88,10.2%,0.4, | 📊 Rank too low: 11.6 < 16.8,✅ OK
CNFN,BANKS,4.05,38.5,39,+2.5,-13.2%,0.5x,28%,▫️ LIGHT,🟡 MID,0.29,0.19,0.30,0.33,🔴🧿,#12 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.63,WAIT,📆 Position (wks),4.03,3.82,4.52,1,—,2.3x,—,🟢 LOW,→,0.16,-5.8%,-0.5, | 📊 Rank too low: 10.6 < 16.8,✅ OK
MFPC,ENERGY,44.63,51.8,73,+10.3,+33.4%,1.2x,50%,▫️ LIGHT,🟡 MID,0.14,0.16,0.15,0.22,🔵🔀BEAR_DIV,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.61,WAIT,📆 Position (wks),44.41,41.17,51.56,1,—,2.2x,—,⚠️ HIGH,→,2.31,11.2%,0.3, | 📊 Rank too low: 10.6 < 16.8,✅ OK
PHDC,REAL_ESTATE,8.60,19.0,43,-1.6,+5.9%,0.2x,22%,▫️ LIGHT,🔴 LATE,0.24,0.26,0.25,0.28,🔴🔕🔵BASE,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.28,WAIT,📆 Position (wks),8.56,8.07,9.65,1,—,2.2x,—,🟡 MED,→,0.35,-7.2%,-1.0, | 📊 Rank too low: 10.3 < 16.8,✅ OK
FAIT,BANKS,33.09,11.9,46,-1.3,+2.7%,0.4x,17%,▫️ LIGHT,🟡 MID,0.00,0.26,0.45,0.28,🔴🔵BASE,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.21,WAIT,📆 Position (wks),32.92,31.45,36.37,1,—,2.3x,—,🟡 MED,→,1.09,-4.0%,-0.7, | 📊 Rank too low: 10.2 < 16.8,✅ OK
HRHO,SERVICES,25.42,29.3,36,+0.0,-4.4%,0.9x,22%,▫️ LIGHT,🟡 MID,0.29,0.19,0.30,0.33,🔴🔵BASE,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.99,WAIT,📆 Position (wks),25.29,24.05,28.15,1,—,2.3x,—,🟢 LOW,→,0.91,-9.1%,-0.3, | 📊 Rank too low: 10.0 < 16.8,✅ OK
HELI,REAL_ESTATE,5.49,46.4,75,+11.2,-3.4%,0.5x,33%,▫️ LIGHT,🟡 MID,0.10,0.20,0.10,0.00,🔵🔀BEAR_DIV,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.62,WAIT,📆 Position (wks),5.46,5.08,6.30,1,—,2.2x,—,⚠️ HIGH,→,0.27,12.0%,-0.9, | 📊 Rank too low: 9.6 < 16.8,✅ OK
COMI,BANKS,118.80,32.1,39,-1.1,+9.3%,0.5x,28%,▫️ LIGHT,🔴 LATE,0.29,0.17,0.30,0.33,🔴🔕🔵BASE,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.27,WAIT,📆 Position (wks),118.21,110.44,135.51,1,—,2.2x,—,⚠️ HIGH,→,5.57,-9.0%,-0.9, | 📊 Rank too low: 9.3 < 16.8,✅ OK
FWRY,SERVICES,17.00,25.3,40,-3.0,+13.7%,0.4x,28%,▫️ LIGHT,🔴 LATE,0.10,0.16,0.10,0.11,🔴🔕🔵BASE,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.11,WAIT,📆 Position (wks),16.91,15.93,19.13,1,—,2.3x,—,🟢 LOW,→,0.71,-8.4%,-1.5, | 📊 Rank too low: 9.1 < 16.8,✅ OK
OCDI,REAL_ESTATE,17.76,15.3,44,-0.6,-35.4%,0.3x,6%,▫️ LIGHT,🟡 MID,0.00,0.16,0.25,0.28,🔴🔵BASE,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.09,WAIT,📆 Position (wks),17.67,16.64,19.99,1,—,2.3x,—,🟡 MED,→,0.74,-9.8%,-0.7, | 📊 Rank too low: 9.1 < 16.8,✅ OK
ISPH,ENERGY,10.46,27.5,37,-5.3,+0.1%,0.4x,28%,▫️ LIGHT,🔴 LATE,0.29,0.17,0.30,0.33,🔴🔕🔀BEAR_DIV,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.32,WAIT,📆 Position (wks),10.41,9.79,11.80,1,—,2.2x,—,🟢 LOW,→,0.45,-7.7%,-0.9, | 📊 Rank too low: 8.3 < 16.8,✅ OK
TMGH,REAL_ESTATE,76.70,36.0,37,-1.7,+8.5%,0.3x,28%,▫️ LIGHT,🔴 LATE,0.29,0.18,0.30,0.33,🔴🔕🔀BEAR_DIV,#22 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.12,WAIT,📆 Position (wks),76.32,71.62,86.87,1,—,2.2x,—,🟡 MED,→,3.39,-10.1%,-1.4, | 📊 Rank too low: 8.1 < 16.8,✅ OK
EAST,ENERGY,37.00,24.1,42,-4.2,-3.5%,0.1x,6%,▫️ LIGHT,🔴 LATE,0.00,0.15,0.30,0.50,🔴🔵BASE,#23 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.01,WAIT,📆 Position (wks),36.81,34.25,42.51,1,—,2.2x,—,⚠️ HIGH,→,1.84,-7.9%,-0.7, | 📊 Rank too low: 8.0 < 16.8,✅ OK
ETEL,SERVICES,82.55,28.4,43,-4.3,+32.3%,0.3x,28%,▫️ LIGHT,🔴 LATE,0.19,0.30,0.20,0.33,🔴🔀BEAR_DIV,#24 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,7.61,WAIT,📆 Position (wks),82.14,77.16,93.32,1,—,2.2x,—,🟢 LOW,→,3.59,-10.9%,-1.2, | 📊 Rank too low: 7.6 < 16.8,✅ OK
