Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
SWDY,ENERGY,79.03,23.1,51,+2.1,+2.4%,0.3x,56%,▫️ LIGHT,🟢 EARLY,0.29,0.24,0.30,0.28,🔵🔔🔵BASE,#11 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.37,WAIT,📆 Position (wks),78.63,74.55,87.99,1,—,2.3x,—,🟡 MED,→,2.99,-0.9%,-0.7, | 📊 Rank too low: 13.4 < 16.8,✅ OK
OCDI,REAL_ESTATE,18.10,15.7,47,+0.5,-34.4%,0.2x,17%,▫️ LIGHT,🟢 EARLY,0.00,0.27,0.65,0.50,🟡🧿👑🔕🔵BASE,#12 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.79,WAIT,📆 Position (wks),18.01,16.97,20.36,1,—,2.3x,—,🟡 MED,→,0.75,-7.9%,-0.8, | 📊 Rank too low: 12.8 < 16.8,✅ OK
FWRY,SERVICES,17.37,25.9,43,-1.0,+16.4%,0.9x,28%,▫️ LIGHT,🔴 LATE,0.43,0.36,0.30,0.56,🔴⚠️CLIMAX_SELL,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.63,WAIT,📆 Position (wks),17.28,16.28,19.54,1,—,2.3x,—,🟢 LOW,→,0.72,-6.7%,-0.3, | 📊 Rank too low: 12.6 < 16.8,✅ OK
ABUK,ENERGY,88.06,33.4,72,+10.5,+50.0%,1.5x,50%,▫️ LIGHT,🟡 MID,0.24,0.27,0.20,0.22,🔵🔀BEAR_DIV,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.60,WAIT,📆 Position (wks),87.62,79.23,105.71,1,—,2.2x,—,⚠️ HIGH,→,5.88,13.1%,0.9, | 📊 Rank too low: 12.6 < 16.8,✅ OK
MFPC,ENERGY,44.50,50.7,73,+13.3,+33.3%,1.4x,56%,▫️ LIGHT,🟡 MID,0.00,0.17,0.15,0.22,🔵🔀BEAR_DIV,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.42,WAIT,📆 Position (wks),44.28,41.04,51.42,1,—,2.2x,—,⚠️ HIGH,→,2.31,12.0%,0.6, | 📊 Rank too low: 12.4 < 16.8,✅ OK
JUFO,SERVICES,26.80,30.1,45,-0.6,-2.0%,0.8x,22%,▫️ LIGHT,🟡 MID,0.52,0.50,0.50,0.61,🔴🔀BEAR_DIV,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.26,WAIT,📆 Position (wks),26.67,25.37,29.66,1,—,2.3x,—,🟢 LOW,→,0.95,-2.2%,-0.3, | 📊 Rank too low: 12.3 < 16.8,✅ OK
HRHO,SERVICES,25.91,29.0,38,+1.9,-2.6%,0.8x,28%,▫️ LIGHT,🟡 MID,0.29,0.19,0.30,0.33,🔴🧿🔵BASE,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.76,WAIT,📆 Position (wks),25.78,24.55,28.63,1,—,2.3x,—,🟢 LOW,→,0.91,-8.2%,-0.6, | 📊 Rank too low: 11.8 < 16.8,✅ OK
HELI,REAL_ESTATE,5.55,47.3,78,+13.1,-2.5%,0.3x,39%,▫️ LIGHT,🟡 MID,0.10,0.12,0.10,0.00,🔵🔀BEAR_DIV,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.04,WAIT,📆 Position (wks),5.52,5.12,6.41,1,—,2.2x,—,⚠️ HIGH,→,0.29,14.2%,-1.2, | 📊 Rank too low: 11.0 < 16.8,✅ OK
COMI,BANKS,122.00,31.8,42,+1.9,+12.4%,0.8x,39%,▫️ LIGHT,🟡 MID,0.29,0.19,0.30,0.33,🔴🧿🔀BEAR_DIV,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.68,WAIT,📆 Position (wks),121.39,113.65,138.71,1,—,2.2x,—,⚠️ HIGH,→,5.57,-6.7%,-0.4, | 📊 Rank too low: 10.7 < 16.8,✅ OK
ISPH,ENERGY,10.50,26.1,37,-5.9,+0.5%,1.3x,33%,▫️ LIGHT,🔴 LATE,0.43,0.20,0.45,0.56,🔴🔕⚠️CLIMAX_SELL,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.39,WAIT,📆 Position (wks),10.45,9.79,11.93,1,—,2.2x,—,🟢 LOW,→,0.48,-7.9%,0.5, | 📊 Rank too low: 10.4 < 16.8,✅ OK
CNFN,BANKS,4.06,38.9,39,+4.1,-13.2%,0.3x,28%,▫️ LIGHT,🟡 MID,0.29,0.16,0.30,0.33,🔴,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.91,WAIT,📆 Position (wks),4.04,3.82,4.55,1,—,2.3x,—,🟢 LOW,→,0.16,-6.2%,-0.8, | 📊 Rank too low: 9.9 < 16.8,✅ OK
TMGH,REAL_ESTATE,78.00,35.7,39,+0.1,+10.4%,0.5x,39%,▫️ LIGHT,🟡 MID,0.29,0.19,0.30,0.33,🔴🔕🔀BEAR_DIV,#22 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.58,WAIT,📆 Position (wks),77.61,72.79,88.43,1,—,2.2x,—,⚠️ HIGH,→,3.48,-8.8%,-1.0, | 📊 Rank too low: 9.6 < 16.8,✅ OK
EAST,ENERGY,37.11,22.3,42,-4.3,-3.3%,0.4x,6%,▫️ LIGHT,🔴 LATE,0.00,0.16,0.30,0.50,🔴🔕🔵BASE,#23 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.07,WAIT,📆 Position (wks),36.92,34.32,42.69,1,—,2.2x,—,⚠️ HIGH,→,1.86,-7.7%,-0.5, | 📊 Rank too low: 9.1 < 16.8,✅ OK
ETEL,SERVICES,84.65,29.8,46,-4.1,+36.1%,0.6x,22%,▫️ LIGHT,🟡 MID,0.19,0.30,0.40,0.33,🔴🔵BASE,#24 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.21,WAIT,📆 Position (wks),84.23,79.40,95.16,1,—,2.3x,—,🟢 LOW,→,3.50,-9.6%,-0.7, | 📊 Rank too low: 8.2 < 16.8,✅ OK
