Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
CIEB,BANKS,23.20,34.3,52,+7.6,+7.5%,1.1x,72%,🧲 BUILDING,🟢 EARLY,0.86,0.41,0.85,0.56,🟡🧿👑🟢BULL_CONF   ⚡,🥇 → 👁️ WATCH (data quality),📈 BULLISH,99.6%,37.51,PROBE,📅 Swing (3-10d),23.08,22.16,25.29,543,⌛ Building,2.4x,🔥 ELITE,🟡 MED,→,0.97,1.8%,0.1,Accum phase | ADX strong (34) | 🛡️ DataGuard DEGRADED (63),✅ OK
ADIB,BANKS,39.05,26.0,51,+3.7,+22.8%,0.7x,61%,▫️ LIGHT,🟢 EARLY,0.38,0.18,0.40,0.33,🔵🧿🔀BEAR_DIV,🥈 → 👁️ WATCH (data quality),📈 BULLISH,81.5%,20.93,PROBE,📅 Swing (3-10d),38.85,37.29,42.56,320,⌛ Building,2.4x,💎 STRONG,🟡 MED,→,2.10,-3.2%,-0.7,"Expansion phase | RSI healthy | ✗Bear vol div | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=39.05)",✅ OK
ORWE,SERVICES,22.88,22.3,52,+3.5,-0.3%,0.4x,56%,🧲 BUILDING,🟢 EARLY,0.48,0.35,0.50,0.50,🟡🧿👑🔵BASE,🥉 → 👁️ WATCH (data quality),📈 BULLISH,71.6%,18.70,PROBE,📆 Position (wks),22.77,21.85,24.94,543,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,0.63,-1.7%,-0.6,Accum phase | RSI healthy | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (62),✅ OK
KZPC,INDUSTRIAL,10.08,19.0,51,+0.7,-3.7%,1.1x,22%,▫️ LIGHT,🟢 EARLY,0.57,0.28,0.60,0.50,🔴🧿🔵BASE,#4 → 👀 WATCH,⏸️ NEUTRAL,70.7%,18.53,PROBE,📆 Position (wks),10.03,9.73,10.99,1666,⌛ Building,3.2x,💎 STRONG,⚠️ HIGH,→,0.43,-1.6%,0.1,"RSI healthy | ✗No clear phase | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=10.08)",✅ OK
SKPC,INDUSTRIAL,18.15,24.8,60,+4.9,-2.5%,0.6x,67%,▫️ LIGHT,🟢 EARLY,0.10,0.14,0.10,0.28,🔵🔵BASE,#5 → 👁️ WATCH (data quality),📈 BULLISH,65.0%,17.48,PROBE,📆 Position (wks),18.06,17.33,19.78,684,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,0.89,3.9%,-0.7,Expansion phase | RSI healthy | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (62),✅ OK
SAUD,BANKS,18.32,28.1,55,-0.5,+22.2%,0.6x,44%,▫️ LIGHT,🟢 EARLY,0.38,0.20,0.40,0.33,🔴🧿🔀BEAR_DIV,#6 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,16.25,WAIT,📆 Position (wks),18.23,17.34,20.28,1,—,2.3x,—,🟡 MED,→,0.65,-1.1%,-0.5, | 📊 Rank too low: 16.2 < 16.8,✅ OK
AMOC,INDUSTRIAL,9.12,31.7,72,+22.7,+24.3%,1.6x,61%,▫️ LIGHT,🔴 LATE,0.00,0.17,0.00,0.22,🔵🟢BULL_CONF,#7 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.59,WAIT,📆 Position (wks),9.07,8.40,10.57,1,—,2.2x,—,⚠️ HIGH,→,0.48,10.8%,0.8, | 📊 Rank too low: 15.6 < 16.8,✅ OK
EGTS,SERVICES,7.29,42.4,44,+1.4,-6.2%,0.3x,22%,▫️ LIGHT,🟡 MID,0.29,0.29,0.30,0.33,🔴🧿🟢BULL_CONF,#8 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.90,WAIT,📆 Position (wks),7.25,6.97,7.94,1,—,2.5x,—,🟢 LOW,→,0.22,-2.7%,-0.4, | 📊 Rank too low: 13.9 < 16.8,✅ OK
PHDC,REAL_ESTATE,8.68,19.6,45,-0.7,+6.9%,0.3x,28%,▫️ LIGHT,🟡 MID,0.43,0.27,0.45,0.50,🔴🔵BASE,#9 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.52,WAIT,📆 Position (wks),8.64,8.14,9.77,1,—,2.3x,—,🟡 MED,→,0.36,-6.4%,-0.8, | 📊 Rank too low: 13.5 < 16.8,✅ OK
FAIT,BANKS,33.84,11.8,51,-1.0,+5.0%,0.2x,28%,▫️ LIGHT,🟡 MID,0.43,0.24,0.45,0.28,🔴🔵BASE,#10 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.48,WAIT,📆 Position (wks),33.67,32.22,37.08,1,—,2.4x,—,🟡 MED,→,1.08,-1.8%,-0.7, | 📊 Rank too low: 13.5 < 16.8,✅ OK
