Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
AMOC,INDUSTRIAL,8.57,29.6,67,+29.1,+17.2%,1.5x,89%,▫️ LIGHT,🟡 MID,0.29,0.19,0.30,0.56,🔵🟢BULL_CONF   ⚡,🥇 → 👁️ WATCH (data quality),📈 BULLISH,91.5%,24.48,PROBE,📅 Swing (3-10d),8.53,8.18,9.34,1428,⌛ Building,2.3x,🔥 ELITE,⚠️ HIGH,→,0.45,7.1%,0.5,Expansion phase | Vol confirmed | ✗RSI neutral (67) | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (61),✅ OK
KZPC,INDUSTRIAL,10.11,20.0,51,+6.5,-3.5%,2.0x,39%,▫️ LIGHT,🟢 EARLY,0.62,0.32,0.65,0.72,🔴🟢BULL_CONF  🎯 Hunter ⚡,🥈 → ⚠️ WATCH (Weak Sector),⏸️ NEUTRAL,90.9%,24.22,PROBE,📆 Position (wks),10.06,9.76,11.02,1666,⌛ Building,3.2x,🔥 ELITE,⚠️ HIGH,→,0.44,-1.5%,0.7,RSI healthy | Vol confirmed | ✗No clear phase | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: TREND_NOT_CONFIRMED(price=10.11),✅ OK
SKPC,INDUSTRIAL,18.01,24.9,60,+11.4,-3.4%,0.7x,61%,▫️ LIGHT,🟢 EARLY,0.29,0.14,0.30,0.50,🔵🔔🟢BULL_CONF,🥉 → 👁️ WATCH (data quality),📈 BULLISH,88.0%,22.96,PROBE,📆 Position (wks),17.92,17.20,19.63,694,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.86,3.4%,-0.5,Expansion phase | RSI healthy | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (62),✅ OK
PHDC,REAL_ESTATE,8.90,22.0,49,-0.5,+9.8%,0.5x,39%,▫️ LIGHT,🟢 EARLY,0.71,0.47,0.70,0.78,🔴🧿👑🟢BULL_CONF,#4 → 👁️ WATCH (data quality),📈 BULLISH,82.5%,21.21,PROBE,📆 Position (wks),8.86,8.63,9.70,2173,⌛ Building,3.7x,🔥 ELITE,⚠️ HIGH,→,0.41,-3.6%,-0.6,"RSI healthy | Vol confirmed | ✗No clear phase | 🛡️ DataGuard DEGRADED (64) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=8.90)",✅ OK
ABUK,ENERGY,79.90,31.7,64,+22.5,+41.1%,0.9x,72%,▫️ LIGHT,🟢 EARLY,0.00,0.15,0.00,0.11,🔵🔀BEAR_DIV,#5 → 👁️ WATCH (data quality),📈 BULLISH,80.1%,20.57,PROBE,📅 Swing (3-10d),79.50,76.30,87.09,156,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,5.53,6.4%,-0.2,Expansion phase | ADX strong (32) | ✗RSI neutral (64) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (62),✅ OK
FWRY,SERVICES,17.90,27.7,47,+0.3,+20.3%,1.5x,50%,▫️ LIGHT,🟢 EARLY,0.38,0.32,0.40,0.56,🔴🟢BULL_CONF  🎯 Hunter,#6 → 👁️ WATCH (data quality),📈 BULLISH,79.7%,20.46,PROBE,📅 Swing (3-10d),17.81,17.09,19.51,694,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.88,-4.5%,1.1,"Vol confirmed | ✗No clear phase | ✗RSI neutral (47) | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=17.90)",✅ OK
MFPC,ENERGY,41.90,48.6,68,+23.4,+26.2%,0.7x,83%,▫️ LIGHT,🟡 MID,0.00,0.21,0.00,0.11,🔵🔀BEAR_DIV,#7 → 👁️ WATCH (data quality),📈 BULLISH,75.9%,19.58,PROBE,⚡ Intraday,41.69,40.01,45.67,297,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,2.24,8.4%,-0.4,Expansion phase | ADX strong (49) | ✗RSI neutral (68) | ✗Bear vol div | 💧 CMF Boost: 0.20 → ×1.1 | 🛡️ DataGuard DEGRADED (62),✅ OK
CIEB,BANKS,22.19,37.8,43,-0.4,+3.0%,1.6x,44%,▫️ LIGHT,🟡 MID,0.52,0.33,0.50,0.83,🔴🟢BULL_CONF  🎯 Hunter,#8 → 👁️ WATCH (data quality),📈 BULLISH,73.5%,19.09,PROBE,⚡ Intraday,22.08,21.52,24.19,892,⌛ Building,3.8x,🔥 ELITE,🟡 MED,→,0.95,-3.0%,0.8,"ADX strong (38) | Vol confirmed | ✗No clear phase | ✗RSI neutral (43) | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=22.19)",✅ OK
ADIB,BANKS,38.97,29.6,51,-5.0,+23.1%,1.0x,39%,🧲 BUILDING,🟡 MID,0.76,0.39,0.75,0.83,🔴🧿👑🟢BULL_CONF,#9 → 👁️ WATCH (data quality),📈 BULLISH,72.1%,18.79,PROBE,📅 Swing (3-10d),38.78,37.80,42.48,510,⌛ Building,3.8x,🔥 ELITE,⚠️ HIGH,→,2.18,-2.6%,0.0,RSI healthy | Vol confirmed | ✗No clear phase | ✗Weak mom | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
COMI,BANKS,129.50,32.6,50,-2.5,+19.6%,0.7x,39%,🧲 BUILDING,🟡 MID,0.62,0.51,0.60,0.61,🔴🧿👑🔀BEAR_DIV,#10 → 👁️ WATCH (data quality),📈 BULLISH,62.7%,17.07,PROBE,📅 Swing (3-10d),128.85,125.61,141.16,154,⌛ Building,3.8x,🔥 ELITE,⚠️ HIGH,→,5.62,-1.5%,-0.5,"ADX strong (33) | RSI healthy | ✗No clear phase | ✗Bear vol div | 🛡️ DataGuard DEGRADED (61) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=129.50)",✅ OK
JUFO,SERVICES,26.58,30.0,42,-1.5,-2.8%,1.4x,22%,▫️ LIGHT,🔴 LATE,0.52,0.52,0.50,0.83,🔴🔕🟢BULL_CONF  🎯 Hunter,#11 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,16.21,WAIT,📆 Position (wks),26.45,25.05,29.64,1,—,2.3x,—,🟢 LOW,→,1.02,-3.9%,0.6, | 📊 Rank too low: 16.2 < 16.8,✅ OK
SWDY,ENERGY,79.40,24.1,53,+3.6,+2.8%,0.3x,56%,▫️ LIGHT,🟢 EARLY,0.48,0.25,0.50,0.50,🔵🧿👑🔔🟢BULL_CONF,#12 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.72,WAIT,📆 Position (wks),79.00,74.32,89.56,1,—,2.3x,—,⚠️ HIGH,→,3.39,-0.4%,-0.6, | 📊 Rank too low: 15.7 < 16.8,✅ OK
HRHO,SERVICES,26.68,29.6,43,-1.2,+0.2%,0.9x,28%,▫️ LIGHT,🔴 LATE,0.52,0.53,0.50,0.61,🔴🔕🟢BULL_CONF,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.35,WAIT,📆 Position (wks),26.55,25.07,29.90,1,—,2.3x,—,🟡 MED,→,1.07,-7.0%,-0.3, | 📊 Rank too low: 15.3 < 16.8,✅ OK
HELI,REAL_ESTATE,5.64,46.3,83,+10.3,-1.1%,0.6x,39%,▫️ LIGHT,🟡 MID,0.10,0.14,0.10,0.00,🔵🔀BEAR_DIV,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.18,WAIT,📆 Position (wks),5.61,5.21,6.51,1,—,2.2x,—,⚠️ HIGH,→,0.29,17.4%,-0.7, | 📊 Rank too low: 15.2 < 16.8,✅ OK
ORWE,SERVICES,23.06,23.9,55,+4.7,+0.4%,0.5x,56%,▫️ LIGHT,🟢 EARLY,0.48,0.26,0.50,0.50,🔵🧿🟢BULL_CONF,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.80,WAIT,📆 Position (wks),22.94,21.99,25.19,1,—,2.4x,—,⚠️ HIGH,→,0.71,-0.9%,-0.5, | 📊 Rank too low: 14.8 < 16.8,✅ OK
FAIT,BANKS,34.17,13.4,54,+1.2,+6.1%,0.5x,39%,▫️ LIGHT,🟢 EARLY,0.43,0.17,0.45,0.28,🔴⚠️CLIMAX_SELL,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.68,WAIT,📆 Position (wks),34.00,32.21,38.09,1,—,2.3x,—,⚠️ HIGH,→,1.31,-0.1%,-0.5, | 📊 Rank too low: 14.7 < 16.8,✅ OK
TMGH,REAL_ESTATE,79.80,35.6,41,-6.7,+13.2%,1.1x,28%,▫️ LIGHT,🔴 LATE,0.67,0.40,0.65,0.83,🔴🔕🔀BEAR_DIV,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.68,WAIT,📆 Position (wks),79.40,73.90,91.60,1,—,2.2x,—,⚠️ HIGH,→,3.93,-6.9%,0.2, | 📊 Rank too low: 14.7 < 16.8,✅ OK
EAST,ENERGY,37.85,18.1,41,-3.9,-1.6%,0.4x,11%,▫️ LIGHT,🔴 LATE,0.00,0.21,0.45,0.50,🔴🔕,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.36,WAIT,📆 Position (wks),37.66,35.40,42.76,1,—,2.3x,—,⚠️ HIGH,→,1.64,-6.4%,-0.5, | 📊 Rank too low: 14.4 < 16.8,✅ OK
SAUD,BANKS,18.11,29.1,52,-3.1,+21.3%,0.5x,39%,▫️ LIGHT,🟡 MID,0.38,0.15,0.40,0.33,🔴🧿⚠️CLIMAX_SELL,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.96,WAIT,📆 Position (wks),18.02,17.05,20.23,1,—,2.3x,—,⚠️ HIGH,→,0.71,-1.8%,-0.7, | 📊 Rank too low: 14.0 < 16.8,✅ OK
OCDI,REAL_ESTATE,18.11,18.0,47,+0.9,-35.0%,0.3x,22%,▫️ LIGHT,🟢 EARLY,0.43,0.28,0.65,0.50,🟡🧿🔕🟢BULL_CONF,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.02,WAIT,📆 Position (wks),18.02,16.80,20.74,1,—,2.2x,—,🟡 MED,→,0.88,-8.1%,-0.8, | 📊 Rank too low: 13.0 < 16.8,✅ OK
ISPH,ENERGY,10.65,23.6,39,-6.4,+1.9%,2.3x,33%,▫️ LIGHT,🔴 LATE,0.10,0.25,0.10,0.50,🔴🔕⚠️CLIMAX_SELL,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.87,WAIT,📆 Position (wks),10.60,9.82,12.31,1,—,2.2x,—,🟡 MED,→,0.55,-8.7%,2.1, | 📊 Rank too low: 10.9 < 16.8,✅ OK
ETEL,SERVICES,84.01,33.7,45,-6.9,+36.1%,0.6x,22%,▫️ LIGHT,🟡 MID,0.19,0.30,0.40,0.33,🔴🔵BASE,#22 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.03,WAIT,📆 Position (wks),83.59,77.93,96.16,1,—,2.2x,—,🟡 MED,→,4.05,-11.1%,-0.8, | 📊 Rank too low: 9.0 < 16.8,✅ OK
EGTS,SERVICES,7.13,42.0,36,-1.4,-8.4%,0.5x,11%,▫️ LIGHT,🔴 LATE,0.00,0.36,0.30,0.33,🔴⚠️CLIMAX_SELL,#23 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.40,WAIT,📆 Position (wks),7.09,6.79,7.80,1,—,2.4x,—,🟡 MED,→,0.22,-5.9%,-0.3, | 📊 Rank too low: 8.4 < 16.8,✅ OK
