Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ORWE,SERVICES,23.06,23.9,55,+4.7,+0.4%,0.5x,56%,▫️ LIGHT,🟢 EARLY,0.48,0.26,0.50,0.50,🔵🧿🟢BULL_CONF,#11 → 👁️ WATCH (data quality),📈 BULLISH,65.3%,17.52,PROBE,📆 Position (wks),22.94,22.02,25.14,543,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.71,-0.9%,-0.5,Expansion phase | RSI healthy | 🛡️ DataGuard DEGRADED (62),✅ OK
MFPC,ENERGY,41.90,48.6,68,+23.4,+26.3%,0.7x,83%,▫️ LIGHT,🟡 MID,0.00,0.21,0.00,0.11,🔵🔀BEAR_DIV,#12 → 👁️ WATCH (data quality),📈 BULLISH,64.1%,17.32,PROBE,⚡ Intraday,41.69,40.01,45.67,297,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,2.24,8.4%,-0.4,Expansion phase | ADX strong (49) | ✗RSI neutral (68) | ✗Bear vol div | 💧 CMF Boost: 0.20 → ×1.1 | 🛡️ DataGuard DEGRADED (62),✅ OK
HRHO,SERVICES,26.68,29.6,43,-1.2,+0.2%,0.9x,28%,▫️ LIGHT,🔴 LATE,0.52,0.53,0.50,0.61,🔴🔕🟢BULL_CONF,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,16.67,WAIT,📆 Position (wks),26.55,25.07,29.90,1,—,2.3x,—,🟡 MED,→,1.07,-7.0%,-0.3, | 📊 Rank too low: 16.7 < 16.8,✅ OK
ABUK,ENERGY,79.90,31.7,64,+22.5,+41.2%,0.9x,72%,▫️ LIGHT,🟢 EARLY,0.00,0.15,0.00,0.11,🔵🔀BEAR_DIV,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,16.48,WAIT,📆 Position (wks),79.50,71.61,96.49,1,—,2.2x,—,⚠️ HIGH,→,5.53,6.4%,-0.2, | 📊 Rank too low: 16.5 < 16.8,✅ OK
TMGH,REAL_ESTATE,79.80,35.6,41,-6.7,+13.3%,1.1x,28%,▫️ LIGHT,🔴 LATE,0.67,0.40,0.65,0.83,🔴🔕🔀BEAR_DIV,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.79,WAIT,📆 Position (wks),79.40,73.90,91.60,1,—,2.2x,—,⚠️ HIGH,→,3.93,-6.9%,0.2, | 📊 Rank too low: 15.8 < 16.8,✅ OK
OCDI,REAL_ESTATE,18.11,18.0,47,+0.9,-34.9%,0.3x,22%,▫️ LIGHT,🟢 EARLY,0.43,0.28,0.65,0.50,🟡🧿🔕🟢BULL_CONF,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.14,WAIT,📆 Position (wks),18.02,16.80,20.74,1,—,2.2x,—,🟡 MED,→,0.88,-8.1%,-0.8, | 📊 Rank too low: 15.1 < 16.8,✅ OK
FAIT,BANKS,34.17,13.4,54,+1.2,+6.1%,0.5x,39%,▫️ LIGHT,🟢 EARLY,0.43,0.17,0.45,0.28,🔴⚠️CLIMAX_SELL,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.39,WAIT,📆 Position (wks),34.00,32.21,38.09,1,—,2.3x,—,⚠️ HIGH,→,1.31,-0.1%,-0.5, | 📊 Rank too low: 14.4 < 16.8,✅ OK
SAUD,BANKS,18.11,29.1,52,-3.1,+21.3%,0.5x,39%,▫️ LIGHT,🟡 MID,0.38,0.15,0.40,0.33,🔴🧿⚠️CLIMAX_SELL,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.08,WAIT,📆 Position (wks),18.02,17.05,20.23,1,—,2.3x,—,⚠️ HIGH,→,0.71,-1.8%,-0.7, | 📊 Rank too low: 13.1 < 16.8,✅ OK
HELI,REAL_ESTATE,5.64,46.3,83,+10.3,-1.0%,0.6x,39%,▫️ LIGHT,🟡 MID,0.10,0.14,0.10,0.00,🔵🔀BEAR_DIV,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.26,WAIT,📆 Position (wks),5.61,5.21,6.51,1,—,2.2x,—,⚠️ HIGH,→,0.29,17.4%,-0.7, | 📊 Rank too low: 12.3 < 16.8,✅ OK
EAST,ENERGY,37.85,18.1,41,-3.9,-1.5%,0.4x,11%,▫️ LIGHT,🔴 LATE,0.00,0.21,0.45,0.50,🔴🔕,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.21,WAIT,📆 Position (wks),37.66,35.40,42.76,1,—,2.3x,—,⚠️ HIGH,→,1.64,-6.4%,-0.5, | 📊 Rank too low: 12.2 < 16.8,✅ OK
ISPH,ENERGY,10.65,23.6,39,-6.4,+1.9%,2.3x,33%,▫️ LIGHT,🔴 LATE,0.10,0.25,0.10,0.50,🔴🔕⚠️CLIMAX_SELL,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.68,WAIT,📆 Position (wks),10.60,9.82,12.31,1,—,2.2x,—,🟡 MED,→,0.55,-8.7%,2.1, | 📊 Rank too low: 9.7 < 16.8,✅ OK
CNFN,BANKS,4.03,40.3,36,+3.3,-14.1%,0.6x,28%,▫️ LIGHT,🟡 MID,0.29,0.19,0.30,0.33,🔴🔀BEAR_DIV,#22 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.14,WAIT,📆 Position (wks),4.01,3.78,4.54,1,—,2.3x,—,🟢 LOW,→,0.17,-7.6%,-0.5, | 📊 Rank too low: 9.1 < 16.8,✅ OK
ETEL,SERVICES,84.01,33.7,45,-6.9,+36.0%,0.6x,22%,▫️ LIGHT,🟡 MID,0.19,0.30,0.40,0.33,🔴🔵BASE,#23 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.14,WAIT,📆 Position (wks),83.59,77.93,96.16,1,—,2.2x,—,🟡 MED,→,4.05,-11.1%,-0.8, | 📊 Rank too low: 8.1 < 16.8,✅ OK
EGTS,SERVICES,7.13,42.0,36,-1.4,-8.4%,0.5x,11%,▫️ LIGHT,🔴 LATE,0.00,0.36,0.30,0.33,🔴⚠️CLIMAX_SELL,#24 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,7.94,WAIT,📆 Position (wks),7.09,6.79,7.80,1,—,2.4x,—,🟡 MED,→,0.22,-5.9%,-0.3, | 📊 Rank too low: 7.9 < 16.8,✅ OK
