sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
ABUK,ENERGY,watch,NEUTRAL,2024-03-27,50.65,48.62,54.47,2,False,2024-03-31,48.62,-4.01,1.0,LOSS
HELI,REAL_ESTATE,watch,NEUTRAL,2024-03-27,9.0,8.64,9.68,2,False,2024-03-31,8.64,-4.0,1.0,LOSS
EAST,ENERGY,watch,NEUTRAL,2024-03-27,22.91,21.99,24.63,2,False,2024-03-31,21.99,-4.02,1.0,LOSS
MFPC,ENERGY,watch,NEUTRAL,2024-03-27,44.95,43.14,48.34,2,False,2024-03-31,43.14,-4.03,1.0,LOSS
SKPC,INDUSTRIAL,watch,NEUTRAL,2024-03-31,24.83,23.83,26.7,1,False,2024-04-01,26.7,7.53,1.87,WIN
KZPC,INDUSTRIAL,watch,NEUTRAL,2024-04-01,7.47,7.25,8.03,2,False,2024-04-03,7.25,-2.95,1.0,LOSS
AMOC,INDUSTRIAL,watch,NEUTRAL,2024-03-27,6.13,5.88,6.59,6,False,2024-04-04,6.59,7.5,1.84,WIN
SKPC,INDUSTRIAL,watch,NEUTRAL,2024-04-02,27.54,26.43,29.61,2,False,2024-04-04,29.61,7.52,1.86,WIN
HELI,REAL_ESTATE,buy,NEUTRAL,2024-04-04,9.82,9.58,10.56,1,False,2024-04-07,9.58,-2.44,1.0,LOSS
KZPC,INDUSTRIAL,watch,NEUTRAL,2024-04-03,7.29,7.07,7.83,3,False,2024-04-08,7.07,-3.02,1.0,LOSS
EGTS,SERVICES,ultra,NEUTRAL,2024-04-03,4.76,4.61,5.11,4,False,2024-04-15,5.11,7.35,2.33,WIN
TMGH,REAL_ESTATE,early,NEUTRAL,2024-04-08,64.21,61.62,69.04,1,False,2024-04-15,69.04,7.52,1.86,WIN
FAIT,BANKS,watch,NEUTRAL,2024-04-15,27.67,26.97,29.75,1,False,2024-04-16,29.75,7.52,2.97,WIN
SKPC,INDUSTRIAL,early,NEUTRAL,2024-04-07,30.71,29.48,33.03,4,False,2024-04-17,33.03,7.55,1.89,WIN
HELI,REAL_ESTATE,watch,NEUTRAL,2024-04-07,9.64,9.35,10.37,4,False,2024-04-17,10.37,7.57,2.52,WIN
