sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
JUFO,SERVICES,sell,NEUTRAL,2020-03-30,5.281431674957275,5.44,5.12,2,True,2020-04-01,5.12,3.06,1.02,WIN
COMI,BANKS,sell,NEUTRAL,2020-03-30,26.9089412689209,27.72,26.1,3,True,2020-04-02,26.1,3.01,1.0,WIN
CIEB,BANKS,sell,NEUTRAL,2020-03-30,4.7761335372924805,4.92,4.63,4,True,2020-04-05,4.92,-3.01,1.0,LOSS
SAUD,BANKS,ultra,NEUTRAL,2020-04-02,2.41,2.33,2.59,1,False,2020-04-05,2.33,-3.32,1.0,LOSS
SKPC,INDUSTRIAL,sell,NEUTRAL,2020-04-05,3.1981492042541504,3.29,3.1,1,True,2020-04-06,3.29,-2.87,1.0,LOSS
ETEL,SERVICES,sell,NEUTRAL,2020-04-05,6.76233434677124,6.97,6.56,1,True,2020-04-06,6.56,2.99,0.97,WIN
FAIT,BANKS,buy,NEUTRAL,2020-03-29,6.75,6.48,7.26,7,False,2020-04-07,7.26,7.56,1.89,WIN
CIEB,BANKS,sell,NEUTRAL,2020-04-06,4.814897537231445,4.96,4.67,1,True,2020-04-07,4.67,3.01,1.0,WIN
ETEL,SERVICES,sell,NEUTRAL,2020-04-06,6.67123556137085,6.87,6.47,1,True,2020-04-07,6.87,-2.98,1.0,LOSS
COMI,BANKS,sell,BULL,2020-04-07,27.855648040771484,28.69,27.02,1,True,2020-04-08,28.69,-3.0,1.0,LOSS
ISPH,ENERGY,sell,BULL,2020-04-08,5.221053600311279,5.38,5.06,1,True,2020-04-09,5.06,3.08,1.01,WIN
EAST,ENERGY,buy,NEUTRAL,2020-03-30,7.05,6.76,7.58,10,False,2020-04-13,7.262150287628174,3.01,0.73,EXIT
ETEL,SERVICES,sell,BULL,2020-04-07,6.881463527679443,7.09,6.68,4,True,2020-04-13,7.09,-3.03,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2020-04-01,2.01,1.93,2.17,9,False,2020-04-14,2.17,7.96,2.0,WIN
ISPH,ENERGY,sell,BULL,2020-04-09,5.053066253662109,5.2,4.9,3,True,2020-04-14,5.2,-2.91,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-04-13,6.43,6.17,6.92,2,False,2020-04-15,6.17,-4.04,1.0,LOSS
FAIT,BANKS,early,NEUTRAL,2020-04-13,7.45,7.15,8.01,4,False,2020-04-21,7.15,-4.03,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-04-16,6.28,6.02,6.75,1,False,2020-04-21,6.02,-4.14,1.0,LOSS
SWDY,ENERGY,early,BULL,2020-04-07,7.46,7.16,8.03,10,False,2020-04-23,7.667879581451416,2.79,0.69,EXIT
