sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
EAST,ENERGY,early,NEUTRAL,2025-03-27,31.01,29.76,33.35,2,False,2025-04-06,29.76,-4.03,1.0,LOSS
SKPC,INDUSTRIAL,buy,NEUTRAL,2025-03-27,20.6,20.08,22.16,2,False,2025-04-06,20.08,-2.52,1.0,LOSS
ADIB,BANKS,buy,NEUTRAL,2025-03-27,42.77,41.05,45.99,2,False,2025-04-06,41.05,-4.02,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2025-03-27,19.02,18.25,20.45,3,False,2025-04-07,18.25,-4.05,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2025-04-06,9.02,8.66,9.7,1,False,2025-04-07,8.66,-3.99,1.0,LOSS
JUFO,SERVICES,watch,NEUTRAL,2025-04-06,32.28,31.31,34.72,1,False,2025-04-07,31.31,-3.0,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2025-04-06,8.44,8.1,9.08,3,False,2025-04-09,9.08,7.58,1.88,WIN
DSCW,REAL_ESTATE,early,NEUTRAL,2025-04-08,2.56,2.45,2.75,5,False,2025-04-15,2.75,7.42,1.73,WIN
HELI,REAL_ESTATE,buy,NEUTRAL,2025-03-27,10.46,10.04,11.25,10,False,2025-04-16,10.61022663116455,1.44,0.36,EXIT
JUFO,SERVICES,buy,NEUTRAL,2025-04-07,31.05,29.8,33.39,10,False,2025-04-23,30.622465133666992,-1.38,0.34,EXIT
MFPC,ENERGY,watch,NEUTRAL,2025-04-07,37.16,36.04,39.97,10,False,2025-04-23,39.430545806884766,6.11,2.03,EXIT
EAST,ENERGY,buy,NEUTRAL,2025-04-09,31.34,30.08,33.7,10,False,2025-04-28,32.900943756103516,4.98,1.24,EXIT
DSCW,REAL_ESTATE,early,NEUTRAL,2025-04-15,2.74,2.63,2.94,6,False,2025-04-28,2.63,-4.01,1.0,LOSS
SKPC,INDUSTRIAL,ultra,NEUTRAL,2025-04-16,21.44,20.8,23.06,10,False,2025-05-06,20.907846450805664,-2.48,0.83,EXIT
FWRY,SERVICES,early,NEUTRAL,2025-04-23,10.15,9.74,10.91,8,False,2025-05-07,10.91,7.49,1.85,WIN
ETEL,SERVICES,early,NEUTRAL,2025-04-23,34.13,33.1,36.7,10,False,2025-05-11,35.0,2.55,0.84,EXIT
SWDY,ENERGY,early,NEUTRAL,2025-04-28,80.49,78.06,86.56,8,False,2025-05-11,78.06,-3.02,1.0,LOSS
PHDC,REAL_ESTATE,ultra,BULL,2025-05-07,6.97,6.76,7.5,2,False,2025-05-11,6.76,-3.01,1.0,LOSS
KZPC,INDUSTRIAL,early,NEUTRAL,2025-04-28,10.99,10.66,11.82,10,False,2025-05-13,10.8627290725708,-1.16,0.39,EXIT
ABUK,ENERGY,early,NEUTRAL,2025-05-06,48.78,46.82,52.46,6,False,2025-05-14,46.82,-4.02,1.0,LOSS
ADIB,BANKS,buy,NEUTRAL,2025-05-13,40.6,39.37,43.66,4,False,2025-05-19,39.37,-3.03,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2025-05-11,8.99,8.63,9.67,7,False,2025-05-20,9.67,7.56,1.89,WIN
TMGH,REAL_ESTATE,early,NEUTRAL,2025-05-11,53.07,50.94,57.07,8,False,2025-05-21,50.94,-4.01,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2025-05-20,10.62,10.3,11.42,2,False,2025-05-22,11.42,7.53,2.5,WIN
ETEL,SERVICES,buy,NEUTRAL,2025-05-11,34.83,33.42,37.45,10,False,2025-05-25,36.310001373291016,4.25,1.05,EXIT
FWRY,SERVICES,early,NEUTRAL,2025-05-22,11.44,11.15,12.31,2,False,2025-05-26,11.15,-2.53,1.0,LOSS
COMI,BANKS,buy,NEUTRAL,2025-05-14,80.98,78.54,87.09,10,False,2025-05-28,81.4000015258789,0.52,0.17,EXIT
DSCW,REAL_ESTATE,ultra,NEUTRAL,2025-05-28,2.51,2.43,2.7,2,False,2025-06-01,2.43,-3.19,1.0,LOSS
CNFN,BANKS,early,NEUTRAL,2025-05-19,4.63,4.51,4.98,10,False,2025-06-02,4.789999961853027,3.46,1.33,EXIT
HRHO,SERVICES,watch,NEUTRAL,2025-05-21,30.66,29.42,32.97,8,False,2025-06-02,29.42,-4.04,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-05-26,11.22,10.94,12.06,5,False,2025-06-02,10.94,-2.5,1.0,LOSS
OCDI,REAL_ESTATE,ultra,NEUTRAL,2025-05-25,64.18,62.24,69.02,10,False,2025-06-11,64.0,-0.28,0.09,EXIT
COMI,BANKS,ultra,NEUTRAL,2025-06-01,80.25,77.83,86.3,7,False,2025-06-15,77.83,-3.02,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2025-06-02,56.12,53.86,60.35,6,False,2025-06-15,53.86,-4.03,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2025-06-02,80.16,76.93,86.2,6,False,2025-06-15,76.93,-4.03,1.0,LOSS
KZPC,INDUSTRIAL,watch,NEUTRAL,2025-06-02,11.46,11.11,12.32,6,False,2025-06-15,11.11,-3.05,1.0,LOSS
SAUD,BANKS,early,NEUTRAL,2025-06-11,11.63,11.28,12.51,2,False,2025-06-15,11.28,-3.01,1.0,LOSS
ETEL,SERVICES,buy,NEUTRAL,2025-06-16,36.2,35.11,38.93,2,False,2025-06-18,35.11,-3.01,1.0,LOSS
EGTS,SERVICES,early,NEUTRAL,2025-06-15,8.16,7.91,8.77,4,False,2025-06-19,7.91,-3.06,1.0,LOSS
PHDC,REAL_ESTATE,early,NEUTRAL,2025-06-15,7.9,7.58,8.5,5,False,2025-06-22,7.58,-4.05,1.0,LOSS
FWRY,SERVICES,buy,NEUTRAL,2025-06-22,11.65,11.3,12.53,3,False,2025-06-25,12.53,7.55,2.51,WIN
COMI,BANKS,watch,NEUTRAL,2025-06-16,78.7,76.33,84.64,8,False,2025-06-29,84.64,7.55,2.51,WIN
ETEL,SERVICES,buy,NEUTRAL,2025-06-22,36.16,35.25,38.88,4,False,2025-06-29,38.88,7.52,2.99,WIN
CIEB,BANKS,watch,NEUTRAL,2025-06-15,17.0,16.49,18.29,10,False,2025-06-30,17.600000381469727,3.53,1.18,EXIT
EGTS,SERVICES,watch,NEUTRAL,2025-06-22,8.08,7.84,8.69,5,False,2025-06-30,8.69,7.55,2.54,WIN
AMOC,INDUSTRIAL,early,NEUTRAL,2025-06-29,6.81,6.6,7.32,2,False,2025-07-01,6.6,-3.08,1.0,LOSS
ORWE,SERVICES,early,NEUTRAL,2025-06-25,24.13,23.4,25.95,4,False,2025-07-02,23.4,-3.03,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2025-06-30,19.81,19.31,21.3,3,False,2025-07-06,19.31,-2.52,1.0,LOSS
KZPC,INDUSTRIAL,watch,NEUTRAL,2025-06-30,12.84,12.33,13.81,3,False,2025-07-06,13.81,7.55,1.9,WIN
ISPH,ENERGY,early,NEUTRAL,2025-07-01,8.92,8.65,9.59,3,False,2025-07-07,9.59,7.51,2.48,WIN
CNFN,BANKS,watch,NEUTRAL,2025-07-06,5.67,5.44,6.1,2,False,2025-07-09,5.44,-4.06,1.0,LOSS
MFPC,ENERGY,early,NEUTRAL,2025-06-29,37.41,36.47,40.23,9,False,2025-07-14,36.47,-2.51,1.0,LOSS
KZPC,INDUSTRIAL,early,NEUTRAL,2025-07-07,13.3,12.77,14.3,4,False,2025-07-14,12.77,-3.98,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2025-07-14,13.06,12.54,14.05,2,False,2025-07-16,12.54,-3.98,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2025-07-02,84.02,81.48,90.35,10,False,2025-07-20,90.35,7.53,2.49,WIN
EAST,ENERGY,early,NEUTRAL,2025-07-06,29.66,28.91,31.89,10,False,2025-07-21,30.932512283325195,4.29,1.7,EXIT
AMOC,INDUSTRIAL,buy,NEUTRAL,2025-07-09,6.85,6.64,7.37,10,False,2025-07-23,6.7242326736450195,-1.84,0.6,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2025-07-20,10.09,9.84,10.85,4,False,2025-07-27,9.84,-2.48,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2025-07-21,20.72,20.09,22.28,3,False,2025-07-27,20.09,-3.04,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2025-07-14,18.26,17.71,19.63,10,False,2025-07-29,18.700000762939453,2.41,0.8,EXIT
ABUK,ENERGY,early,NEUTRAL,2025-07-16,45.66,44.28,49.1,9,False,2025-07-30,44.28,-3.02,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2025-07-23,10.04,9.64,10.8,4,False,2025-07-30,9.64,-3.98,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2025-07-27,12.94,12.62,13.92,3,False,2025-07-30,12.62,-2.47,1.0,LOSS
SAUD,BANKS,watch,NEUTRAL,2025-07-27,12.63,12.31,13.58,4,False,2025-07-31,12.31,-2.53,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2025-07-29,93.23,89.48,100.26,8,False,2025-08-10,100.26,7.54,1.87,WIN
FWRY,SERVICES,early,NEUTRAL,2025-07-30,12.44,11.94,13.38,7,False,2025-08-10,13.38,7.56,1.88,WIN
ETEL,SERVICES,buy,NEUTRAL,2025-07-30,39.94,38.74,42.95,7,False,2025-08-10,42.95,7.54,2.51,WIN
EAST,ENERGY,buy,NEUTRAL,2025-07-31,31.66,30.71,34.05,6,False,2025-08-10,34.05,7.55,2.52,WIN
HELI,REAL_ESTATE,ultra,NEUTRAL,2025-08-10,10.04,9.74,10.8,3,False,2025-08-13,9.74,-2.99,1.0,LOSS
PHDC,REAL_ESTATE,watch,NEUTRAL,2025-07-31,8.25,8.0,8.87,10,False,2025-08-14,8.079999923706055,-2.06,0.68,EXIT
TMGH,REAL_ESTATE,early,NEUTRAL,2025-08-10,56.51,54.8,60.77,4,False,2025-08-14,54.8,-3.03,1.0,LOSS
SKPC,INDUSTRIAL,ultra,NEUTRAL,2025-08-10,20.08,19.47,21.59,8,False,2025-08-20,19.47,-3.04,1.0,LOSS
CNFN,BANKS,early,NEUTRAL,2025-08-10,5.64,5.41,6.07,9,False,2025-08-21,5.41,-4.08,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2025-08-13,78.8,76.43,84.74,7,False,2025-08-24,76.43,-3.01,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2025-08-14,55.22,53.56,59.39,8,False,2025-08-26,53.56,-3.01,1.0,LOSS
DSCW,REAL_ESTATE,buy,NEUTRAL,2025-08-24,2.85,2.76,3.06,2,False,2025-08-26,2.76,-3.16,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2025-08-14,46.39,44.52,49.89,10,False,2025-08-28,46.71073913574219,0.69,0.17,EXIT
KZPC,INDUSTRIAL,watch,NEUTRAL,2025-08-26,9.32,8.94,10.02,3,False,2025-08-31,10.02,7.51,1.84,WIN
PHDC,REAL_ESTATE,buy,NEUTRAL,2025-08-28,8.05,7.81,8.66,1,False,2025-08-31,7.81,-2.98,1.0,LOSS
KZPC,INDUSTRIAL,early,NEUTRAL,2025-08-31,10.12,9.87,10.88,2,False,2025-09-02,10.88,7.51,3.04,WIN
HRHO,SERVICES,early,BULL,2025-08-20,25.77,25.12,27.71,10,False,2025-09-03,25.479999542236328,-1.13,0.45,EXIT
FWRY,SERVICES,early,NEUTRAL,2025-08-21,13.52,12.98,14.54,10,False,2025-09-07,12.98,-3.99,1.0,LOSS
PHDC,REAL_ESTATE,buy,NEUTRAL,2025-09-02,7.92,7.68,8.52,2,False,2025-09-07,7.68,-3.03,1.0,LOSS
KZPC,INDUSTRIAL,early,NEUTRAL,2025-09-07,10.83,10.39,11.64,2,False,2025-09-09,11.64,7.48,1.84,WIN
EAST,ENERGY,buy,NEUTRAL,2025-08-26,34.96,33.9,37.59,10,False,2025-09-10,36.087928771972656,3.23,1.06,EXIT
EGTS,SERVICES,buy,NEUTRAL,2025-09-09,8.51,8.25,9.15,3,False,2025-09-14,8.25,-3.06,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2025-08-31,46.07,44.68,49.54,10,False,2025-09-15,48.38944625854492,5.03,1.67,EXIT
KZPC,INDUSTRIAL,early,NEUTRAL,2025-09-10,11.05,10.6,11.88,3,False,2025-09-15,10.6,-4.07,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-09-15,10.29,9.98,11.06,1,False,2025-09-16,9.98,-3.01,1.0,LOSS
SAUD,BANKS,early,NEUTRAL,2025-09-03,12.72,12.2,13.67,10,False,2025-09-18,12.630000114440918,-0.71,0.17,EXIT
EAST,ENERGY,early,NEUTRAL,2025-09-14,35.44,34.37,38.11,4,False,2025-09-18,38.11,7.53,2.5,WIN
OCDI,REAL_ESTATE,watch,NEUTRAL,2025-09-08,14.83,14.23,15.94,10,False,2025-09-22,15.029999732971191,1.35,0.33,EXIT
ABUK,ENERGY,early,NEUTRAL,2025-09-16,46.75,45.34,50.28,4,False,2025-09-22,45.34,-3.02,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2025-09-18,98.49,96.01,105.91,2,False,2025-09-22,96.01,-2.52,1.0,LOSS
FWRY,SERVICES,ultra,NEUTRAL,2025-09-15,13.34,12.94,14.35,10,False,2025-09-29,14.270000457763672,6.97,2.33,EXIT
ETEL,SERVICES,early,NEUTRAL,2025-09-18,47.01,45.6,50.56,8,False,2025-09-30,50.56,7.55,2.52,WIN
HRHO,SERVICES,ultra,NEUTRAL,2025-09-22,25.92,25.14,27.87,10,False,2025-10-06,26.75,3.2,1.06,EXIT
EGTS,SERVICES,early,NEUTRAL,2025-09-22,9.22,8.85,9.92,10,False,2025-10-06,9.0,-2.39,0.59,EXIT
TMGH,REAL_ESTATE,buy,NEUTRAL,2025-09-22,54.33,52.69,58.42,10,False,2025-10-06,56.0099983215332,3.09,1.02,EXIT
MFPC,ENERGY,early,BULL,2025-09-30,29.95,29.2,32.21,6,False,2025-10-08,29.2,-2.5,1.0,LOSS
CIEB,BANKS,ultra,BULL,2025-09-29,18.51,17.95,19.9,10,False,2025-10-14,18.75,1.3,0.43,EXIT
ORWE,SERVICES,early,NEUTRAL,2025-10-08,22.24,21.34,23.91,5,False,2025-10-16,23.91,7.51,1.86,WIN
SWDY,ENERGY,early,NEUTRAL,2025-10-14,76.24,73.17,81.98,4,False,2025-10-20,81.98,7.53,1.87,WIN
SAUD,BANKS,early,NEUTRAL,2025-10-06,12.94,12.41,13.91,10,False,2025-10-21,13.600000381469727,5.1,1.25,EXIT
ADIB,BANKS,early,NEUTRAL,2025-10-06,22.6,21.69,24.3,10,False,2025-10-21,24.3,7.52,1.87,WIN
SKPC,INDUSTRIAL,early,NEUTRAL,2025-10-06,19.9,19.1,21.4,10,False,2025-10-21,19.719999313354492,-0.9,0.23,EXIT
KZPC,INDUSTRIAL,early,NEUTRAL,2025-10-21,11.56,11.27,12.43,6,False,2025-10-29,11.27,-2.51,1.0,LOSS
ORWE,SERVICES,early,NEUTRAL,2025-10-16,23.41,22.47,25.18,10,False,2025-10-30,23.899999618530273,2.09,0.52,EXIT
CIEB,BANKS,early,NEUTRAL,2025-10-21,19.39,18.61,20.85,7,False,2025-10-30,20.85,7.53,1.87,WIN
PHDC,REAL_ESTATE,early,BULL,2025-10-20,7.99,7.75,8.59,9,False,2025-11-02,7.75,-3.0,1.0,LOSS
CNFN,BANKS,early,NEUTRAL,2025-10-29,4.88,4.68,5.24,2,False,2025-11-02,4.68,-4.1,1.0,LOSS
ABUK,ENERGY,ultra,NEUTRAL,2025-10-21,47.43,46.0,51.01,10,False,2025-11-04,47.459999084472656,0.06,0.02,EXIT
EGTS,SERVICES,buy,NEUTRAL,2025-11-04,9.14,8.87,9.83,1,False,2025-11-05,8.87,-2.95,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2025-11-02,41.62,39.95,44.76,4,False,2025-11-06,44.76,7.54,1.88,WIN
FWRY,SERVICES,early,NEUTRAL,2025-10-30,14.53,13.94,15.62,6,False,2025-11-09,15.62,7.5,1.85,WIN
CNFN,BANKS,buy,NEUTRAL,2025-11-02,4.8,4.6,5.16,5,False,2025-11-09,5.16,7.5,1.8,WIN
PHDC,REAL_ESTATE,early,NEUTRAL,2025-11-05,8.31,8.1,8.93,3,False,2025-11-10,8.1,-2.53,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2025-10-30,104.96,102.33,112.87,10,False,2025-11-13,108.5,3.37,1.35,EXIT
ETEL,SERVICES,early,BULL,2025-11-06,52.6,51.01,56.56,5,False,2025-11-13,56.56,7.53,2.49,WIN
ORWE,SERVICES,early,NEUTRAL,2025-11-09,24.38,23.77,26.21,5,False,2025-11-16,23.77,-2.5,1.0,LOSS
CNFN,BANKS,early,NEUTRAL,2025-11-09,5.11,4.91,5.5,5,False,2025-11-16,4.91,-3.91,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2025-11-10,19.51,18.92,20.98,10,False,2025-11-24,19.020000457763672,-2.51,0.83,EXIT
SWDY,ENERGY,early,NEUTRAL,2025-11-13,79.4,76.21,85.39,7,False,2025-11-24,76.21,-4.02,1.0,LOSS
COMI,BANKS,buy,NEUTRAL,2025-11-16,109.43,105.03,117.68,6,False,2025-11-24,105.03,-4.02,1.0,LOSS
CNFN,BANKS,early,NEUTRAL,2025-11-16,4.94,4.74,5.31,7,False,2025-11-25,4.74,-4.05,1.0,LOSS
