sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
ISPH,ENERGY,buy,NEUTRAL,2020-03-29,5.3,5.17,5.81,1,False,2020-03-30,5.17,-2.45,1.0,LOSS
ABUK,ENERGY,watch,NEUTRAL,2020-03-29,8.79,8.44,9.63,1,False,2020-03-30,8.44,-3.98,1.0,LOSS
ORWE,SERVICES,watch,NEUTRAL,2020-03-29,3.2,3.07,3.51,1,False,2020-03-30,3.07,-4.06,1.0,LOSS
ISPH,ENERGY,buy,NEUTRAL,2020-03-30,5.35,5.21,5.86,2,False,2020-04-01,5.21,-2.62,1.0,LOSS
HELI,REAL_ESTATE,watch,NEUTRAL,2020-03-29,3.04,2.92,3.33,5,False,2020-04-05,2.92,-3.95,1.0,LOSS
SWDY,ENERGY,buy,NEUTRAL,2020-04-05,6.84,6.57,7.49,2,False,2020-04-07,7.49,9.5,2.41,WIN
EAST,ENERGY,watch,NEUTRAL,2020-03-29,7.05,6.76,7.72,10,False,2020-04-12,7.273705005645752,3.17,0.77,EXIT
FAIT,BANKS,buy,NEUTRAL,2020-03-30,6.78,6.51,7.43,9,False,2020-04-12,7.43,9.59,2.41,WIN
ABUK,ENERGY,watch,NEUTRAL,2020-03-30,8.31,7.97,9.1,10,False,2020-04-13,8.32364559173584,0.16,0.04,EXIT
FWRY,SERVICES,early,NEUTRAL,2020-04-01,2.01,1.93,2.21,9,False,2020-04-14,2.21,9.95,2.5,WIN
JUFO,SERVICES,early,NEUTRAL,2020-04-13,6.43,6.17,7.05,2,False,2020-04-15,6.17,-4.04,1.0,LOSS
COMI,BANKS,buy,NEUTRAL,2020-04-12,29.94,28.74,32.8,4,False,2020-04-16,28.74,-4.01,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-04-16,6.28,6.02,6.88,1,False,2020-04-21,6.02,-4.14,1.0,LOSS
FAIT,BANKS,early,NEUTRAL,2020-04-12,7.33,7.04,8.03,6,False,2020-04-22,7.04,-3.96,1.0,LOSS
ABUK,ENERGY,watch,NEUTRAL,2020-04-15,8.63,8.28,9.46,3,False,2020-04-22,8.28,-4.06,1.0,LOSS
SWDY,ENERGY,early,BULL,2020-04-07,7.46,7.16,8.18,10,False,2020-04-23,7.667879581451416,2.79,0.69,EXIT
JUFO,SERVICES,buy,NEUTRAL,2020-04-21,6.08,5.83,6.66,3,False,2020-04-26,6.66,9.54,2.32,WIN
ESRS,INDUSTRIAL,buy,BULL,2020-04-22,5.41,5.19,5.92,2,False,2020-04-26,5.92,9.43,2.32,WIN
SAUD,BANKS,early,NEUTRAL,2020-04-14,2.48,2.38,2.72,10,False,2020-04-30,2.458181858062744,-0.88,0.22,EXIT
HELI,REAL_ESTATE,early,BULL,2020-04-22,4.15,3.98,4.55,7,False,2020-05-03,3.98,-4.1,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-04-26,6.14,5.89,6.73,5,False,2020-05-03,5.89,-4.07,1.0,LOSS
FAIT,BANKS,ultra,NEUTRAL,2020-04-30,7.33,7.11,8.03,1,False,2020-05-03,7.11,-3.0,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2020-04-23,5.3,5.09,5.81,9,False,2020-05-06,5.81,9.62,2.43,WIN
FAIT,BANKS,ultra,NEUTRAL,2020-05-03,7.06,6.85,7.74,4,False,2020-05-07,6.85,-2.97,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-05-03,9.5,9.12,10.41,4,False,2020-05-07,9.12,-4.0,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-05-03,7.6,7.3,8.33,4,False,2020-05-07,7.3,-3.95,1.0,LOSS
EAST,ENERGY,buy,NEUTRAL,2020-05-06,7.17,6.96,7.86,1,False,2020-05-07,6.96,-2.93,1.0,LOSS
ETEL,SERVICES,ultra,NEUTRAL,2020-04-26,7.29,7.07,7.99,10,False,2020-05-10,7.807614803314209,7.1,2.35,EXIT
ISPH,ENERGY,buy,NEUTRAL,2020-05-07,5.62,5.45,6.16,4,False,2020-05-13,6.16,9.61,3.18,WIN
EAST,ENERGY,ultra,NEUTRAL,2020-05-11,7.39,7.17,8.1,2,False,2020-05-13,7.17,-2.98,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-05-13,6.7,6.49,7.34,1,False,2020-05-14,6.49,-3.13,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2020-05-07,2.36,2.26,2.58,9,False,2020-05-20,2.58,9.32,2.2,WIN
ISPH,ENERGY,early,NEUTRAL,2020-05-13,6.01,5.83,6.59,5,False,2020-05-20,5.83,-3.0,1.0,LOSS
SAUD,BANKS,watch,NEUTRAL,2020-05-07,2.41,2.31,2.64,10,False,2020-05-21,2.429926872253418,0.83,0.2,EXIT
COMI,BANKS,watch,NEUTRAL,2020-05-10,29.65,28.76,32.48,10,False,2020-05-31,29.211515426635742,-1.48,0.49,EXIT
CNFN,BANKS,buy,NEUTRAL,2020-05-21,2.49,2.41,2.73,1,False,2020-05-31,2.41,-3.21,1.0,LOSS
ETEL,SERVICES,buy,NEUTRAL,2020-05-20,7.86,7.62,8.61,3,False,2020-06-01,8.61,9.54,3.12,WIN
JUFO,SERVICES,early,NEUTRAL,2020-05-14,6.6,6.41,7.24,10,False,2020-06-04,6.573641777038574,-0.4,0.14,EXIT
TMGH,REAL_ESTATE,ultra,NEUTRAL,2020-06-04,4.81,4.66,5.27,1,False,2020-06-07,5.27,9.56,3.07,WIN
ISPH,ENERGY,buy,NEUTRAL,2020-05-20,5.78,5.61,6.33,10,False,2020-06-10,5.838850975036621,1.02,0.35,EXIT
CNFN,BANKS,buy,NEUTRAL,2020-05-31,2.49,2.41,2.73,10,False,2020-06-14,2.6117630004882812,4.89,1.52,EXIT
SAUD,BANKS,watch,NEUTRAL,2020-05-31,2.44,2.37,2.68,10,False,2020-06-14,2.4553563594818115,0.63,0.22,EXIT
ADIB,BANKS,ultra,NEUTRAL,2020-06-07,7.22,7.0,7.91,5,False,2020-06-14,7.0,-3.05,1.0,LOSS
EAST,ENERGY,ultra,NEUTRAL,2020-06-10,7.5,7.27,8.21,2,False,2020-06-14,7.27,-3.07,1.0,LOSS
ETEL,SERVICES,buy,NEUTRAL,2020-06-01,8.46,8.21,9.27,10,False,2020-06-15,9.058560371398926,7.08,2.39,EXIT
JUFO,SERVICES,watch,NEUTRAL,2020-06-14,6.48,6.28,7.1,1,False,2020-06-15,6.28,-3.09,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-14,4.54,4.36,4.98,2,False,2020-06-16,4.98,9.69,2.44,WIN
ETEL,SERVICES,early,NEUTRAL,2020-06-15,9.01,8.65,9.87,4,False,2020-06-21,8.65,-4.0,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-06-14,6.75,6.48,7.4,7,False,2020-06-23,7.4,9.63,2.41,WIN
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-21,4.72,4.53,5.17,2,False,2020-06-23,5.17,9.53,2.37,WIN
TMGH,REAL_ESTATE,buy,NEUTRAL,2020-06-15,5.09,4.93,5.57,7,False,2020-06-24,5.57,9.43,3.0,WIN
HRHO,SERVICES,early,NEUTRAL,2020-06-23,7.29,6.99,7.98,2,False,2020-06-25,7.98,9.47,2.3,WIN
COMI,BANKS,buy,NEUTRAL,2020-06-14,31.13,30.19,34.1,10,False,2020-06-28,30.62310218811035,-1.63,0.54,EXIT
ABUK,ENERGY,early,NEUTRAL,2020-06-16,7.76,7.45,8.5,10,False,2020-06-30,7.809840202331543,0.64,0.16,EXIT
ETEL,SERVICES,early,NEUTRAL,2020-06-28,9.28,8.9,10.16,5,False,2020-07-07,10.16,9.48,2.32,WIN
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-25,5.11,4.9,5.59,7,False,2020-07-08,5.59,9.39,2.29,WIN
ISPH,ENERGY,ultra,NEUTRAL,2020-06-23,5.87,5.69,6.43,10,False,2020-07-09,5.886321544647217,0.28,0.09,EXIT
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-07,3.7,3.59,4.05,2,False,2020-07-09,3.59,-2.97,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2020-06-24,5.24,5.03,5.74,10,False,2020-07-12,5.26448392868042,0.47,0.12,EXIT
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-08,10.5,10.19,11.51,3,False,2020-07-13,10.19,-2.95,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-06-30,7.73,7.42,8.47,9,False,2020-07-15,7.42,-4.01,1.0,LOSS
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-09,3.58,3.47,3.93,4,False,2020-07-15,3.47,-3.07,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2020-07-09,8.02,7.7,8.79,4,False,2020-07-15,7.7,-3.99,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-07-12,7.35,7.06,8.05,3,False,2020-07-15,7.06,-3.95,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-13,10.46,10.04,11.45,2,False,2020-07-15,10.04,-4.02,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-15,9.95,9.55,10.9,1,False,2020-07-16,9.55,-4.02,1.0,LOSS
CIEB,BANKS,watch,NEUTRAL,2020-07-15,5.14,4.99,5.64,1,False,2020-07-16,4.99,-2.92,1.0,LOSS
OCDI,REAL_ESTATE,buy,NEUTRAL,2020-07-16,10.11,9.7,11.07,3,False,2020-07-21,11.07,9.5,2.34,WIN
CNFN,BANKS,early,NEUTRAL,2020-07-15,2.93,2.81,3.21,8,False,2020-07-28,3.21,9.56,2.33,WIN
SKPC,INDUSTRIAL,watch,NEUTRAL,2020-07-22,3.65,3.54,3.99,4,False,2020-07-29,3.99,9.32,3.09,WIN
ORWE,SERVICES,early,NEUTRAL,2020-07-15,3.4,3.26,3.72,10,False,2020-08-04,3.632951259613037,6.85,1.66,EXIT
ADIB,BANKS,watch,NEUTRAL,2020-07-15,7.15,6.94,7.84,10,False,2020-08-04,7.84,9.65,3.29,WIN
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-21,10.99,10.54,12.03,7,False,2020-08-05,12.03,9.46,2.31,WIN
MFPC,ENERGY,ultra,NEUTRAL,2020-07-28,32.77,31.78,35.89,6,False,2020-08-10,35.89,9.52,3.15,WIN
ADIB,BANKS,early,NEUTRAL,2020-08-05,7.77,7.58,8.52,5,False,2020-08-12,8.52,9.65,3.95,WIN
FAIT,BANKS,ultra,NEUTRAL,2020-07-29,6.14,5.95,6.72,9,False,2020-08-16,6.72,9.45,3.05,WIN
TMGH,REAL_ESTATE,ultra,NEUTRAL,2020-08-04,5.56,5.39,6.09,8,False,2020-08-16,6.09,9.53,3.12,WIN
HRHO,SERVICES,early,NEUTRAL,2020-08-04,7.68,7.37,8.41,8,False,2020-08-16,8.41,9.51,2.35,WIN
EAST,ENERGY,ultra,NEUTRAL,2020-08-10,6.97,6.76,7.64,10,False,2020-08-25,7.366142749786377,5.68,1.89,EXIT
SWDY,ENERGY,early,NEUTRAL,2020-08-12,6.5,6.31,7.13,9,False,2020-08-26,7.13,9.69,3.32,WIN
JUFO,SERVICES,ultra,NEUTRAL,2020-08-26,6.81,6.61,7.47,1,False,2020-08-27,6.61,-2.94,1.0,LOSS
MFPC,ENERGY,early,NEUTRAL,2020-08-16,37.49,35.98,41.07,10,False,2020-08-31,38.1326904296875,1.71,0.43,EXIT
ETEL,SERVICES,buy,NEUTRAL,2020-08-16,9.48,9.1,10.38,10,False,2020-08-31,9.6912202835083,2.23,0.56,EXIT
COMI,BANKS,buy,NEUTRAL,2020-08-16,30.25,29.34,33.14,10,False,2020-08-31,31.37533187866211,3.72,1.24,EXIT
EAST,ENERGY,early,NEUTRAL,2020-08-25,7.33,7.11,8.03,5,False,2020-09-01,7.11,-3.0,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-08-27,6.97,6.69,7.63,5,False,2020-09-03,6.69,-4.02,1.0,LOSS
MFPC,ENERGY,early,NEUTRAL,2020-09-01,37.67,36.16,41.27,2,False,2020-09-03,36.16,-4.01,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-09-03,4.99,4.79,5.46,1,False,2020-09-06,4.79,-4.01,1.0,LOSS
MFPC,ENERGY,buy,NEUTRAL,2020-09-03,36.46,35.0,39.94,1,False,2020-09-06,35.0,-4.0,1.0,LOSS
ETEL,SERVICES,buy,NEUTRAL,2020-08-31,9.64,9.26,10.56,5,False,2020-09-07,10.56,9.54,2.42,WIN
SKPC,INDUSTRIAL,early,NEUTRAL,2020-09-06,4.8,4.61,5.26,2,False,2020-09-08,4.61,-3.96,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2020-09-06,9.62,9.23,10.53,2,False,2020-09-08,9.23,-4.05,1.0,LOSS
OCDI,REAL_ESTATE,buy,NEUTRAL,2020-09-07,11.93,11.57,13.07,1,False,2020-09-08,11.57,-3.02,1.0,LOSS
ETEL,SERVICES,early,NEUTRAL,2020-09-08,9.71,9.32,10.64,2,False,2020-09-10,9.32,-4.02,1.0,LOSS
COMI,BANKS,buy,NEUTRAL,2020-08-31,31.22,29.96,34.2,10,False,2020-09-14,31.26853370666504,0.16,0.04,EXIT
FAIT,BANKS,buy,NEUTRAL,2020-08-31,6.65,6.38,7.28,10,False,2020-09-14,6.619796276092529,-0.45,0.11,EXIT
ABUK,ENERGY,buy,NEUTRAL,2020-09-08,9.51,9.13,10.42,6,False,2020-09-16,10.42,9.57,2.39,WIN
ESRS,INDUSTRIAL,early,NEUTRAL,2020-09-10,6.58,6.31,7.21,7,False,2020-09-21,6.31,-4.1,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2020-09-08,6.19,5.94,6.78,10,False,2020-09-22,6.15334415435791,-0.59,0.15,EXIT
CIEB,BANKS,ultra,NEUTRAL,2020-09-14,4.7,4.56,5.15,10,False,2020-09-28,4.692651748657227,-0.16,0.05,EXIT
COMI,BANKS,early,NEUTRAL,2020-09-14,31.11,29.86,34.08,10,False,2020-09-28,31.013145446777344,-0.31,0.08,EXIT
ORWE,SERVICES,ultra,NEUTRAL,2020-09-16,3.45,3.34,3.78,8,False,2020-09-28,3.78,9.57,3.0,WIN
ABUK,ENERGY,early,NEUTRAL,2020-09-22,10.68,10.25,11.7,8,False,2020-10-04,10.25,-4.03,1.0,LOSS
